table_schema,table_name
clean,game_manifest
clean,game_schedule_2026
clean,game_schedule_all
clean,player_directory
clean,player_game_stats
clean,team_alias_mapping
clean,team_directory
clean,team_game_stats
marts,player_career_stats
marts,player_last10_stats
marts,player_last5_stats
marts,player_ranking_profiles
marts,player_season_last10_stats
marts,player_season_last5_stats
marts,player_season_stats
marts,player_season_stats_by_team
marts,player_vs_opponent_stats
marts,team_career_stats
marts,team_defense_career_stats
marts,team_defense_season_stats
marts,team_game_opponent_context
marts,team_game_possession_quality
marts,team_last10_stats
marts,team_last5_stats
marts,team_season_last10_stats
marts,team_season_last5_stats
marts,team_season_stats
marts,team_style_profiles
marts,team_vs_opponent_stats
qc,api_collection_log
qc,defensive_opponent_build_quality
qc,duckdb_table_index
qc,event_list_probe_summary
qc,game_discovery_log
qc,game_possession_quality
qc,possession_field_quality
qc,quality_summary
qc,season_schedule_inventory
qc,season_slug_inventory
qc,skipped_games
qc,stat_slug_inventory
qc,table_counts
