season,competition_type,event_id,event_numeric_id,game_id,game_slug,schedule_slug,game_number,game_date_utc,start_time_unix,event_status,status_display,home_team_id_raw,away_team_id_raw,home_team_id,away_team_id,home_team_name_raw,away_team_name_raw,home_team_name,away_team_name,home_score,away_score,source,discovered_at_utc,has_final_score,is_completed_by_schedule,matchup,result,team_rows,teams_in_team_game,player_rows,players_in_player_game,teams_in_player_game,has_team_stats,has_player_stats,is_complete_game_record
2022,regular,2022_ev1,123,2022_ev1,whipsnakes-chaos-2022-6-04,whipsnakes-chaos-2022-6-04,1,,1654366500,3,3,CHA,WHP,CHA,WHP,Chaos,Whipsnakes,Chaos,Whipsnakes,,,event_summary,2026-05-19T20:59:08Z,False,False,Whipsnakes at Chaos,,2,2,36,36,2,True,True,True
2022,regular,2022_ev2,122,2022_ev2,redwoods-atlas-2022-6-04,redwoods-atlas-2022-6-04,2,,1654376400,3,3,ATL,RED,ATL,RED,Atlas,Redwoods,Atlas,Redwoods,,,event_summary,2026-05-19T20:59:08Z,False,False,Redwoods at Atlas,,2,2,38,38,2,True,True,True
2022,regular,2022_ev3,121,2022_ev3,waterdogs-cannons-2022-6-05,waterdogs-cannons-2022-6-05,3,,1654448400,3,3,CAN,WAT,CAN,WAT,Cannons,Waterdogs,Cannons,Waterdogs,,,event_summary,2026-05-19T20:59:08Z,False,False,Waterdogs at Cannons,,2,2,36,36,2,True,True,True
2022,regular,2022_ev4,120,2022_ev4,chrome-archers-2022-6-05,chrome-archers-2022-6-05,4,,1654458300,3,3,ARC,CHR,ARC,OUT,Archers,Chrome,Archers,Outlaws,,,event_summary,2026-05-19T20:59:08Z,False,False,Outlaws at Archers,,2,2,36,36,2,True,True,True
2022,regular,2022_ev5,119,2022_ev5,chrome-redwoods-2022-6-10,chrome-redwoods-2022-6-10,5,,1654898400,3,3,RED,CHR,RED,OUT,Redwoods,Chrome,Redwoods,Outlaws,,,event_summary,2026-05-19T20:59:08Z,False,False,Outlaws at Redwoods,,2,2,36,36,2,True,True,True
2022,regular,2022_ev6,118,2022_ev6,chaos-archers-2022-6-10,chaos-archers-2022-6-10,6,,1654908300,3,3,ARC,CHA,ARC,CHA,Archers,Chaos,Archers,Chaos,,,event_summary,2026-05-19T20:59:09Z,False,False,Chaos at Archers,,2,2,34,34,2,True,True,True
2022,regular,2022_ev7,117,2022_ev7,atlas-cannons-2022-6-11,atlas-cannons-2022-6-11,7,,1654984800,3,3,CAN,ATL,CAN,ATL,Cannons,Atlas,Cannons,Atlas,,,event_summary,2026-05-19T20:59:09Z,False,False,Atlas at Cannons,,2,2,36,36,2,True,True,True
2022,regular,2022_ev8,116,2022_ev8,whipsnakes-waterdogs-2022-6-11,whipsnakes-waterdogs-2022-6-11,8,,1654994700,3,3,WAT,WHP,WAT,WHP,Waterdogs,Whipsnakes,Waterdogs,Whipsnakes,,,event_summary,2026-05-19T20:59:09Z,False,False,Whipsnakes at Waterdogs,,2,2,36,36,2,True,True,True
2022,regular,2022_ev9,115,2022_ev9,waterdogs-chrome-2022-6-17,waterdogs-chrome-2022-6-17,9,,1655503200,3,3,CHR,WAT,OUT,WAT,Chrome,Waterdogs,Outlaws,Waterdogs,,,event_summary,2026-05-19T20:59:09Z,False,False,Waterdogs at Outlaws,,2,2,36,36,2,True,True,True
2022,regular,2022_ev10,114,2022_ev10,atlas-whipsnakes-2022-6-17,atlas-whipsnakes-2022-6-17,10,,1655513100,3,3,WHP,ATL,WHP,ATL,Whipsnakes,Atlas,Whipsnakes,Atlas,,,event_summary,2026-05-19T20:59:09Z,False,False,Atlas at Whipsnakes,,2,2,36,36,2,True,True,True
