season,game_id,game_slug,game_number,game_date_utc,team_rows,combined_time_in_possession,combined_time_in_possession_pct,combined_touches,combined_passes,combined_offensive_sequence_proxy,standard_clock_seconds,dead_ball_or_untracked_seconds,combined_time_mmss,dead_ball_or_untracked_mmss,possession_data_status
2022,2022_ev1,whipsnakes-chaos-2022-6-04,1,,2,0.0,0.0,458,362,96,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev2,redwoods-atlas-2022-6-04,2,,2,0.0,0.0,439,333,106,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev3,waterdogs-cannons-2022-6-05,3,,2,0.0,0.0,456,344,112,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev4,chrome-archers-2022-6-05,4,,2,0.0,0.0,565,459,106,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev5,chrome-redwoods-2022-6-10,5,,2,0.0,0.0,480,381,99,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev6,chaos-archers-2022-6-10,6,,2,0.0,0.0,557,449,108,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev7,atlas-cannons-2022-6-11,7,,2,0.0,0.0,527,415,112,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev8,whipsnakes-waterdogs-2022-6-11,8,,2,0.0,0.0,559,438,121,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev9,waterdogs-chrome-2022-6-17,9,,2,0.0,0.0,477,371,106,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev10,atlas-whipsnakes-2022-6-17,10,,2,0.0,0.0,510,396,114,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev11,archers-cannons-2022-6-18,11,,2,0.0,0.0,565,447,118,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev12,redwoods-chaos-2022-6-18-1,12,,2,0.0,0.0,516,420,96,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev13,redwoods-whipsnakes-2022-6-24,13,,2,0.0,0.0,486,381,105,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev14,chaos-waterdogs-2022-6-24,14,,2,0.0,0.0,545,434,111,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev15,cannons-chrome-2022-6-25,15,,2,0.0,0.0,565,440,125,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev16,archers-atlas-2022-6-25,16,,2,0.0,0.0,538,418,120,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev17,archers-redwoods-2022-7-1,17,,2,0.0,0.0,544,435,109,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev18,atlas-chrome-2022-7-1,18,,2,0.0,0.0,536,439,97,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev19,chaos-cannons-2022-7-2,19,,2,0.0,0.0,522,412,110,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev20,whipsnakes-waterdogs-2022-7-2,20,,2,0.0,0.0,543,415,128,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev23,redwoods-atlas-2022-7-23,23,,2,0.0,0.0,475,357,118,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev24,whipsnakes-chaos-2022-7-23,24,,2,0.0,0.0,499,390,109,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev25,cannons-archers-2022-7-24,25,,2,0.0,0.0,523,408,115,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev26,chrome-waterdogs-2022-7-24,26,,2,0.0,0.0,570,451,119,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev27,archers-atlas-2022-7-30,27,,2,0.0,0.0,525,426,99,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev28,chrome-whipsnakes-2022-7-30,28,,2,0.0,0.0,503,410,93,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev29,waterdogs-cannons-2022-7-31,29,,2,0.0,0.0,489,376,113,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev30,redwoods-chaos-2022-7-31,30,,2,0.0,0.0,554,448,106,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev31,cannons-redwoods-2022-8-5,31,,2,0.0,0.0,542,421,121,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev32,chaos-chrome-2022-8-6,32,,2,0.0,0.0,558,455,103,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev33,waterdogs-atlas-2022-8-6,33,,2,0.0,0.0,559,436,123,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev34,archers-whipsnakes-2022-8-6,34,,2,0.0,0.0,538,431,107,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev35,atlas-whipsnakes-2022-8-12,35,,2,0.0,0.0,498,378,120,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev36,waterdogs-redwoods-2022-8-12,36,,2,0.0,0.0,504,394,110,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev37,chaos-archers-2022-8-13,37,,2,0.0,0.0,568,464,104,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev38,cannons-chrome-2022-8-13,38,,2,0.0,0.0,551,450,101,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev39,chrome-redwoods-2022-8-20,39,,2,0.0,0.0,500,396,104,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev40,archers-waterdogs-2022-8-20,40,,2,0.0,0.0,538,419,119,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev41,whipsnakes-cannons-2022-8-21,41,,2,0.0,0.0,442,324,118,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev42,atlas-chaos-2022-8-21,42,,2,0.0,0.0,493,377,116,2880,2880.0,0:00,48:00,missing_possession_time
2022,2022_ev43,playoffs-quarterfinal-1-2022-9-3,43,,2,0.0,0.0,553,451,102,2880,2880.0,0:00,48:00,missing_possession_time
