season,player_id,full_name,position,position_name,split_type,games,first_game_date,last_game_date,opponents,teams,points,scoring_points,one_point_goals,two_point_goals,goals,assists,shots,shots_on_goal,two_point_shots,saves,clean_saves,messy_saves,scores_against,saa,ground_balls,turnovers,caused_turnovers,faceoffs_won,faceoffs_lost,faceoffs,goals_against,two_point_goals_against,num_penalties,pim,assist_opportunities,touches,total_passes,shot_pct_calc,shots_on_goal_rate_calc,faceoff_pct_calc,save_pct_calc,points_per_game,scoring_points_per_game,one_point_goals_per_game,two_point_goals_per_game,goals_per_game,assists_per_game,shots_per_game,shots_on_goal_per_game,two_point_shots_per_game,saves_per_game,clean_saves_per_game,messy_saves_per_game,scores_against_per_game,saa_per_game,ground_balls_per_game,turnovers_per_game,caused_turnovers_per_game,faceoffs_won_per_game,faceoffs_lost_per_game,faceoffs_per_game,goals_against_per_game,two_point_goals_against_per_game,num_penalties_per_game,pim_per_game,assist_opportunities_per_game,touches_per_game,total_passes_per_game
2022,000201,Adam Ghitelman,G,Goalie,last_10,9,2022-06-05,2022-08-21,ATL|CAN|CHA|OUT|RED|WAT,ARC,0,0,0,0,0,0,2,1,2,92,20,72,96,96.02296,31,2,3,0,0,0,91,5,1,1.0,1,122,118,0.0,0.5,,0.9581041867486693,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,10.222222222222221,2.2222222222222223,8.0,10.666666666666666,10.669217777777778,3.4444444444444446,0.2222222222222222,0.3333333333333333,0.0,0.0,0.0,10.11111111111111,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.1111111111111111,13.555555555555555,13.11111111111111
2022,000204,Christian Cuccinello,A,Attack,last_10,2,2022-06-11,2022-07-24,ARC|ATL,CAN,2,2,2,0,2,0,6,4,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,16,10,0.3333333333333333,0.6666666666666666,,,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0
2022,000207,Dominique Alexander,SSDM,Defensive Midfield,last_10,9,2022-06-05,2022-08-21,ATL|CAN|CHA|OUT|RED|WAT,ARC,2,1,1,0,1,1,1,1,0,0,0,0,0,0.0,15,0,9,0,0,0,0,0,4,3.0,2,66,65,1.0,1.0,,,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.3333333333333333,0.2222222222222222,7.333333333333333,7.222222222222222
2022,000211,Ian MacKay,SSDM,Defensive Midfield,last_10,5,2022-06-25,2022-08-21,ARC|ATL|CAN|WAT|WHP,CHA,0,0,0,0,0,0,4,3,4,0,0,0,0,0.0,1,2,1,0,1,1,0,0,2,1.5,2,27,21,0.0,0.75,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.2,0.2,0.0,0.0,0.4,0.3,0.4,5.4,4.2
2022,000213,Jerry Ragonese,FO,Faceoff,last_10,1,2022-07-02,2022-07-02,CAN,CHA,1,1,1,0,1,0,1,1,0,0,0,0,0,0.0,2,0,0,2,6,8,0,0,0,0.0,0,2,1,1.0,1.0,0.25,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2022,000216,Marcus Holman,A,Attack,last_10,10,2022-06-05,2022-08-21,ATL|CAN|CHA|OUT|RED|WAT|WHP,ARC,29,21,17,2,19,8,55,38,6,0,0,0,0,0.0,22,14,0,0,0,0,0,0,1,0.5,29,354,285,0.34545454545454546,0.6909090909090909,,,2.9,2.1,1.7,0.2,1.9,0.8,5.5,3.8,0.6,0.0,0.0,0.0,0.0,0.0,2.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,2.9,35.4,28.5
2022,000217,Mark McNeill,SSDM,Defensive Midfield,last_10,9,2022-06-05,2022-08-21,ATL|CAN|CHA|OUT|RED|WAT|WHP,ARC,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,9,3,2,0,0,0,0,0,1,0.5,1,36,33,,,,,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,0.1111111111111111,4.0,3.6666666666666665
2022,000218,Matt McMahon,D,Defense,last_10,10,2022-06-05,2022-08-21,ATL|CAN|CHA|OUT|RED|WAT|WHP,ARC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7,2,10,0,0,0,0,0,2,1.5,0,22,20,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.0,2.2,2.0
2022,000221,Ryan Ambler,M,Midfield,last_10,10,2022-06-05,2022-08-21,ATL|CAN|CHA|OUT|RED|WAT|WHP,ARC,15,13,13,0,13,2,45,26,1,0,0,0,0,0.0,5,9,1,0,0,0,0,0,0,0.0,13,215,161,0.28888888888888886,0.5777777777777777,,,1.5,1.3,1.3,0.0,1.3,0.2,4.5,2.6,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,21.5,16.1
2022,000222,Stephen Kelly,FO,Faceoff,last_10,9,2022-06-05,2022-08-21,ARC|ATL|CHA|OUT|RED|WAT|WHP,CAN,5,4,4,0,4,1,7,6,0,0,0,0,0,0.0,65,8,0,106,111,217,0,0,0,0.0,4,68,53,0.5714285714285714,0.8571428571428571,0.48847926267281105,,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.1111111111111111,0.7777777777777778,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,7.222222222222222,0.8888888888888888,0.0,11.777777777777779,12.333333333333334,24.11111111111111,0.0,0.0,0.0,0.0,0.4444444444444444,7.555555555555555,5.888888888888889
2022,000223,Scott Ratliff,D,Defense,last_10,10,2022-06-05,2022-08-21,ATL|CAN|CHA|OUT|RED|WAT|WHP,ARC,2,1,1,0,1,1,10,8,8,0,0,0,0,0.0,27,4,13,0,0,0,0,0,3,2.5,6,111,97,0.1,0.8,,,0.2,0.1,0.1,0.0,0.1,0.1,1.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,2.7,0.4,1.3,0.0,0.0,0.0,0.0,0.0,0.3,0.25,0.6,11.1,9.7
2022,000225,Tom Schreiber,M,Midfield,last_10,10,2022-06-05,2022-08-21,ATL|CAN|CHA|OUT|RED|WAT|WHP,ARC,35,21,17,2,19,14,52,37,5,0,0,0,0,0.0,11,23,0,0,0,0,0,0,0,0.0,57,374,299,0.36538461538461536,0.7115384615384616,,,3.5,2.1,1.7,0.2,1.9,1.4,5.2,3.7,0.5,0.0,0.0,0.0,0.0,0.0,1.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,37.4,29.9
2022,000227,Will Manny,A,Attack,last_10,10,2022-06-05,2022-08-21,ATL|CAN|CHA|OUT|RED|WAT|WHP,ARC,33,16,16,0,16,17,56,41,3,0,0,0,0,0.0,4,20,0,0,0,0,0,0,2,1.0,37,344,268,0.2857142857142857,0.7321428571428571,,,3.3,1.6,1.6,0.0,1.6,1.7,5.6,4.1,0.3,0.0,0.0,0.0,0.0,0.0,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,3.7,34.4,26.8
2022,000231,Chris Cloutier,A,Attack,last_10,6,2022-07-02,2022-08-21,ARC|ATL|CAN|OUT|RED|WHP,CHA,14,9,9,0,9,5,26,22,0,0,0,0,0,0.0,11,12,0,0,0,0,0,0,0,0.0,18,159,121,0.34615384615384615,0.8461538461538461,,,2.3333333333333335,1.5,1.5,0.0,1.5,0.8333333333333334,4.333333333333333,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.5,20.166666666666668
2022,000234,Eric Law,A,Attack,last_10,10,2022-06-04,2022-08-21,ARC|CAN|CHA|OUT|RED|WAT|WHP,ATL,29,18,18,0,18,11,33,27,0,0,0,0,0,0.0,11,23,0,0,0,0,0,0,3,2.5,31,339,283,0.5454545454545454,0.8181818181818182,,,2.9,1.8,1.8,0.0,1.8,1.1,3.3,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.25,3.1,33.9,28.3
2022,000235,Jake Richard,SSDM,Defensive Midfield,last_10,10,2022-06-04,2022-08-21,ARC|CAN|CHA|OUT|RED|WAT|WHP,ATL,2,1,1,0,1,1,4,4,2,0,0,0,0,0.0,9,3,7,0,0,0,0,0,5,4.0,2,77,70,0.25,1.0,,,0.2,0.1,0.1,0.0,0.1,0.1,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.9,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.2,7.7,7.0
2022,000238,John Crawley,M,Midfield,last_10,9,2022-06-04,2022-08-13,ARC|CAN|OUT|RED|WAT|WHP,ATL,5,4,4,0,4,1,22,13,1,0,0,0,0,0.0,3,8,0,0,0,0,0,0,0,0.0,5,99,69,0.18181818181818182,0.5909090909090909,,,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.1111111111111111,2.4444444444444446,1.4444444444444444,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,11.0,7.666666666666667
2022,000240,Kieran McArdle,A,Attack,last_10,10,2022-06-05,2022-08-21,ARC|ATL|CAN|CHA|OUT|RED|WHP,WAT,42,19,19,0,19,23,62,43,2,0,0,0,0,0.0,19,24,0,0,0,0,0,0,0,0.0,67,363,277,0.3064516129032258,0.6935483870967742,,,4.2,1.9,1.9,0.0,1.9,2.3,6.2,4.3,0.2,0.0,0.0,0.0,0.0,0.0,1.9,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,36.3,27.7
