season,player_id,games,points,scoring_points,one_point_goals,two_point_goals,goals,assists,shots,shots_on_goal,two_point_shots,ground_balls,turnovers,caused_turnovers,faceoffs_won,faceoffs_lost,faceoffs,saves,clean_saves,messy_saves,scores_against,goals_against,penalties,penalty_time,touches,total_passes,team_ids,teams,full_name,position,position_name,split_type,points_per_game,scoring_points_per_game,one_point_goals_per_game,two_point_goals_per_game,goals_per_game,assists_per_game,shots_per_game,shots_on_goal_per_game,two_point_shots_per_game,ground_balls_per_game,turnovers_per_game,caused_turnovers_per_game,faceoffs_won_per_game,faceoffs_lost_per_game,faceoffs_per_game,saves_per_game,clean_saves_per_game,messy_saves_per_game,scores_against_per_game,goals_against_per_game,penalties_per_game,penalty_time_per_game,touches_per_game,total_passes_per_game,shot_pct_calc,shot_pct,shots_on_goal_rate_calc,faceoff_pct_calc,faceoff_pct,save_pct_calc,save_pct,points_per_touch,scoring_points_per_touch
2022,001846,4,4,3,3,0,3,1,19,13,0,4,5,0,0,0,0,0,0,0,0,0,0.0,0.0,73,49,CAN,Cannons,Adam Charalambides,A,Attack,season,1.0,0.75,0.75,0.0,0.75,0.25,4.75,3.25,0.0,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25,12.25,0.15789473684210525,0.15789473684210525,0.6842105263157895,,,,,0.0547945205479452,0.0410958904109589
2022,000201,12,0,0,0,0,0,0,3,1,3,38,2,3,0,0,0,129,35,94,122,117,0.0,1.0,167,162,ARC,Archers,Adam Ghitelman,G,Goalie,season,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.08333333333333333,0.25,3.1666666666666665,0.16666666666666666,0.25,0.0,0.0,0.0,10.75,2.9166666666666665,7.833333333333333,10.166666666666666,9.75,0.0,0.08333333333333333,13.916666666666666,13.5,0.0,0.0,0.3333333333333333,,,0.524390243902439,0.524390243902439,0.0,0.0
2022,001763,4,1,0,0,0,0,1,0,0,0,12,2,0,23,27,50,0,0,0,0,0,0.0,0.0,12,10,CAN,Cannons,Alex Woodall,FO,Faceoff,season,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,3.0,0.5,0.0,5.75,6.75,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.5,,,,0.46,0.46,,,0.08333333333333333,0.0
2022,001662,1,0,0,0,0,0,0,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0.0,0.0,15,10,CHA,Chaos,Andrew Kew,A,Attack,season,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,,,,,0.0,0.0
2022,001740,4,1,1,1,0,1,0,3,2,1,0,0,1,0,3,3,0,0,0,0,0,0.0,0.0,9,6,CAN,Cannons,Andrew Newbold,LSM,Long Stick Midfield,season,0.25,0.25,0.25,0.0,0.25,0.0,0.75,0.5,0.25,0.0,0.0,0.25,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,,,0.1111111111111111,0.1111111111111111
2022,002065,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5,5,RED,Redwoods,Anthony DeMaio,M,Midfield,season,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,,,,,,,,0.0,0.0
2022,002017,11,0,0,0,0,0,0,0,0,0,18,4,4,0,0,0,0,0,0,0,0,0.0,2.0,38,34,RED,Redwoods,Arden Cohen,D,Defense,season,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6363636363636365,0.36363636363636365,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,3.4545454545454546,3.090909090909091,,,,,,,,0.0,0.0
2022,002024,11,25,16,16,0,16,9,53,40,0,15,31,3,0,0,0,0,0,0,0,0,0.0,0.5,286,202,"ASA, CAN",Cannons,Asher Nolting,A,Attack,season,2.272727272727273,1.4545454545454546,1.4545454545454546,0.0,1.4545454545454546,0.8181818181818182,4.818181818181818,3.6363636363636362,0.0,1.3636363636363635,2.8181818181818183,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,26.0,18.363636363636363,0.3018867924528302,0.3018867924528302,0.7547169811320755,,,,,0.08741258741258741,0.055944055944055944
2022,000815,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0.0,0.0,1,1,CHA,Chaos,Austin Kaut,G,Goalie,season,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,,,,,,0.5,0.5,0.0,0.0
2022,001406,15,3,2,2,0,2,1,6,6,2,26,7,12,0,0,0,0,0,0,0,0,0.0,0.0,79,66,"ASH, WAT",Waterdogs,Ben Randall,D,Defense,season,0.2,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.4,0.4,0.13333333333333333,1.7333333333333334,0.4666666666666667,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.266666666666667,4.4,0.3333333333333333,0.3333333333333333,1.0,,,,,0.0379746835443038,0.02531645569620253
2022,000258,15,3,0,0,0,0,3,3,1,3,26,4,7,0,0,0,193,85,104,155,146,0.0,0.0,212,205,"ASH, CHA",Chaos,Blaze Riorden,G,Goalie,season,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.06666666666666667,0.2,1.7333333333333334,0.26666666666666666,0.4666666666666667,0.0,0.0,0.0,12.866666666666667,5.666666666666667,6.933333333333334,10.333333333333334,9.733333333333333,0.0,0.0,14.133333333333333,13.666666666666666,0.0,0.0,0.3333333333333333,,,0.5693215339233039,0.5693215339233039,0.014150943396226415,0.0
2022,000390,12,27,16,14,1,15,11,65,42,5,13,14,1,0,0,0,0,0,0,0,0,0.0,0.0,266,187,"ASH, WHP",Whipsnakes,Brad Smith,M,Midfield,season,2.25,1.3333333333333333,1.1666666666666667,0.08333333333333333,1.25,0.9166666666666666,5.416666666666667,3.5,0.4166666666666667,1.0833333333333333,1.1666666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.166666666666668,15.583333333333334,0.23076923076923078,0.23076923076923078,0.6461538461538462,,,,,0.10150375939849623,0.06015037593984962
2022,001727,1,1,1,1,0,1,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,9,5,CHA,Chaos,Bradley Voigt,A,Attack,season,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,,,0.1111111111111111,0.1111111111111111
2022,001657,3,1,1,1,0,1,0,8,3,0,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,26,16,CAN,Cannons,Brendan Bomberry,A,Attack,season,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,2.6666666666666665,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.666666666666666,5.333333333333333,0.125,0.125,0.375,,,,,0.038461538461538464,0.038461538461538464
