season,team_id,team_name,player_id,games,points,scoring_points,one_point_goals,two_point_goals,goals,assists,shots,shots_on_goal,two_point_shots,ground_balls,turnovers,caused_turnovers,faceoffs_won,faceoffs_lost,faceoffs,saves,clean_saves,messy_saves,scores_against,goals_against,penalties,penalty_time,touches,total_passes,team_ids,teams,full_name,position,position_name,split_type,points_per_game,scoring_points_per_game,one_point_goals_per_game,two_point_goals_per_game,goals_per_game,assists_per_game,shots_per_game,shots_on_goal_per_game,two_point_shots_per_game,ground_balls_per_game,turnovers_per_game,caused_turnovers_per_game,faceoffs_won_per_game,faceoffs_lost_per_game,faceoffs_per_game,saves_per_game,clean_saves_per_game,messy_saves_per_game,scores_against_per_game,goals_against_per_game,penalties_per_game,penalty_time_per_game,touches_per_game,total_passes_per_game,shot_pct_calc,shot_pct,shots_on_goal_rate_calc,faceoff_pct_calc,faceoff_pct,save_pct_calc,save_pct,points_per_touch,scoring_points_per_touch
2022,CAN,Cannons,001846,4,4,3,3,0,3,1,19,13,0,4,5,0,0,0,0,0,0,0,0,0,0.0,0.0,73,49,CAN,Cannons,Adam Charalambides,A,Attack,season_by_team,1.0,0.75,0.75,0.0,0.75,0.25,4.75,3.25,0.0,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25,12.25,0.15789473684210525,0.15789473684210525,0.6842105263157895,,,,,0.0547945205479452,0.0410958904109589
2022,ARC,Archers,000201,12,0,0,0,0,0,0,3,1,3,38,2,3,0,0,0,129,35,94,122,117,0.0,1.0,167,162,ARC,Archers,Adam Ghitelman,G,Goalie,season_by_team,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.08333333333333333,0.25,3.1666666666666665,0.16666666666666666,0.25,0.0,0.0,0.0,10.75,2.9166666666666665,7.833333333333333,10.166666666666666,9.75,0.0,0.08333333333333333,13.916666666666666,13.5,0.0,0.0,0.3333333333333333,,,0.524390243902439,0.524390243902439,0.0,0.0
2022,CAN,Cannons,001763,4,1,0,0,0,0,1,0,0,0,12,2,0,23,27,50,0,0,0,0,0,0.0,0.0,12,10,CAN,Cannons,Alex Woodall,FO,Faceoff,season_by_team,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,3.0,0.5,0.0,5.75,6.75,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.5,,,,0.46,0.46,,,0.08333333333333333,0.0
2022,CHA,Chaos,001662,1,0,0,0,0,0,0,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0.0,0.0,15,10,CHA,Chaos,Andrew Kew,A,Attack,season_by_team,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,,,,,0.0,0.0
2022,CAN,Cannons,001740,4,1,1,1,0,1,0,3,2,1,0,0,1,0,3,3,0,0,0,0,0,0.0,0.0,9,6,CAN,Cannons,Andrew Newbold,LSM,Long Stick Midfield,season_by_team,0.25,0.25,0.25,0.0,0.25,0.0,0.75,0.5,0.25,0.0,0.0,0.25,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,,,0.1111111111111111,0.1111111111111111
2022,RED,Redwoods,002065,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5,5,RED,Redwoods,Anthony DeMaio,M,Midfield,season_by_team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,,,,,,,,0.0,0.0
2022,RED,Redwoods,002017,11,0,0,0,0,0,0,0,0,0,18,4,4,0,0,0,0,0,0,0,0,0.0,2.0,38,34,RED,Redwoods,Arden Cohen,D,Defense,season_by_team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6363636363636365,0.36363636363636365,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,3.4545454545454546,3.090909090909091,,,,,,,,0.0,0.0
2022,CAN,Cannons,002024,10,23,14,14,0,14,9,49,38,0,13,31,2,0,0,0,0,0,0,0,0,0.0,0.5,282,202,CAN,Cannons,Asher Nolting,A,Attack,season_by_team,2.3,1.4,1.4,0.0,1.4,0.9,4.9,3.8,0.0,1.3,3.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,28.2,20.2,0.2857142857142857,0.2857142857142857,0.7755102040816326,,,,,0.08156028368794327,0.04964539007092199
2022,ASA,,002024,1,2,2,2,0,2,0,4,2,0,2,0,1,0,0,0,0,0,0,0,0,0.0,0.0,4,0,ASA,,Asher Nolting,A,Attack,season_by_team,2.0,2.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.5,,,,,0.5,0.5
2022,CHA,Chaos,000815,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0.0,0.0,1,1,CHA,Chaos,Austin Kaut,G,Goalie,season_by_team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,,,,,,0.5,0.5,0.0,0.0
