season,game_id,game_slug,schedule_slug,game_number,game_date_utc,home_team_id,away_team_id,home_team_name,away_team_name,source
2022,2022_ev1,whipsnakes-chaos-2022-6-04,whipsnakes-chaos-2022-6-04,1,,CHA,WHP,Chaos,Whipsnakes,event_summary
2022,2022_ev2,redwoods-atlas-2022-6-04,redwoods-atlas-2022-6-04,2,,ATL,RED,Atlas,Redwoods,event_summary
2022,2022_ev3,waterdogs-cannons-2022-6-05,waterdogs-cannons-2022-6-05,3,,CAN,WAT,Cannons,Waterdogs,event_summary
2022,2022_ev4,chrome-archers-2022-6-05,chrome-archers-2022-6-05,4,,ARC,OUT,Archers,Outlaws,event_summary
2022,2022_ev5,chrome-redwoods-2022-6-10,chrome-redwoods-2022-6-10,5,,RED,OUT,Redwoods,Outlaws,event_summary
2022,2022_ev6,chaos-archers-2022-6-10,chaos-archers-2022-6-10,6,,ARC,CHA,Archers,Chaos,event_summary
2022,2022_ev7,atlas-cannons-2022-6-11,atlas-cannons-2022-6-11,7,,CAN,ATL,Cannons,Atlas,event_summary
2022,2022_ev8,whipsnakes-waterdogs-2022-6-11,whipsnakes-waterdogs-2022-6-11,8,,WAT,WHP,Waterdogs,Whipsnakes,event_summary
2022,2022_ev9,waterdogs-chrome-2022-6-17,waterdogs-chrome-2022-6-17,9,,OUT,WAT,Outlaws,Waterdogs,event_summary
2022,2022_ev10,atlas-whipsnakes-2022-6-17,atlas-whipsnakes-2022-6-17,10,,WHP,ATL,Whipsnakes,Atlas,event_summary
2022,2022_ev11,archers-cannons-2022-6-18,archers-cannons-2022-6-18,11,,ARC,CAN,Archers,Cannons,event_summary
2022,2022_ev12,redwoods-chaos-2022-6-18-1,redwoods-chaos-2022-6-18-1,12,,CHA,RED,Chaos,Redwoods,event_summary
2022,2022_ev13,redwoods-whipsnakes-2022-6-24,redwoods-whipsnakes-2022-6-24,13,,WHP,RED,Whipsnakes,Redwoods,event_summary
2022,2022_ev14,chaos-waterdogs-2022-6-24,chaos-waterdogs-2022-6-24,14,,WAT,CHA,Waterdogs,Chaos,event_summary
2022,2022_ev15,cannons-chrome-2022-6-25,cannons-chrome-2022-6-25,15,,OUT,CAN,Outlaws,Cannons,event_summary
2022,2022_ev16,archers-atlas-2022-6-25,archers-atlas-2022-6-25,16,,ATL,ARC,Atlas,Archers,event_summary
2022,2022_ev17,archers-redwoods-2022-7-1,archers-redwoods-2022-7-1,17,,RED,ARC,Redwoods,Archers,event_summary
2022,2022_ev18,atlas-chrome-2022-7-1,atlas-chrome-2022-7-1,18,,OUT,ATL,Outlaws,Atlas,event_summary
2022,2022_ev19,chaos-cannons-2022-7-2,chaos-cannons-2022-7-2,19,,CAN,CHA,Cannons,Chaos,event_summary
2022,2022_ev20,whipsnakes-waterdogs-2022-7-2,whipsnakes-waterdogs-2022-7-2,20,,WAT,WHP,Waterdogs,Whipsnakes,event_summary
2022,2022_ev22,all-star-skills-2022-7-1,all-star-skills-2022-7-1,22,,ASH,ASA,Baptiste,Farrell,event_summary
2022,2022_ev23,redwoods-atlas-2022-7-23,redwoods-atlas-2022-7-23,23,,ATL,RED,Atlas,Redwoods,event_summary
2022,2022_ev24,whipsnakes-chaos-2022-7-23,whipsnakes-chaos-2022-7-23,24,,CHA,WHP,Chaos,Whipsnakes,event_summary
2022,2022_ev25,cannons-archers-2022-7-24,cannons-archers-2022-7-24,25,,ARC,CAN,Archers,Cannons,event_summary
2022,2022_ev26,chrome-waterdogs-2022-7-24,chrome-waterdogs-2022-7-24,26,,WAT,OUT,Waterdogs,Outlaws,event_summary
2022,2022_ev27,archers-atlas-2022-7-30,archers-atlas-2022-7-30,27,,ATL,ARC,Atlas,Archers,event_summary
2022,2022_ev28,chrome-whipsnakes-2022-7-30,chrome-whipsnakes-2022-7-30,28,,WHP,OUT,Whipsnakes,Outlaws,event_summary
2022,2022_ev29,waterdogs-cannons-2022-7-31,waterdogs-cannons-2022-7-31,29,,CAN,WAT,Cannons,Waterdogs,event_summary
2022,2022_ev30,redwoods-chaos-2022-7-31,redwoods-chaos-2022-7-31,30,,CHA,RED,Chaos,Redwoods,event_summary
2022,2022_ev31,cannons-redwoods-2022-8-5,cannons-redwoods-2022-8-5,31,,RED,CAN,Redwoods,Cannons,event_summary
2022,2022_ev32,chaos-chrome-2022-8-6,chaos-chrome-2022-8-6,32,,OUT,CHA,Outlaws,Chaos,event_summary
2022,2022_ev33,waterdogs-atlas-2022-8-6,waterdogs-atlas-2022-8-6,33,,ATL,WAT,Atlas,Waterdogs,event_summary
2022,2022_ev34,archers-whipsnakes-2022-8-6,archers-whipsnakes-2022-8-6,34,,WHP,ARC,Whipsnakes,Archers,event_summary
2022,2022_ev35,atlas-whipsnakes-2022-8-12,atlas-whipsnakes-2022-8-12,35,,WHP,ATL,Whipsnakes,Atlas,event_summary
2022,2022_ev36,waterdogs-redwoods-2022-8-12,waterdogs-redwoods-2022-8-12,36,,RED,WAT,Redwoods,Waterdogs,event_summary
2022,2022_ev37,chaos-archers-2022-8-13,chaos-archers-2022-8-13,37,,ARC,CHA,Archers,Chaos,event_summary
2022,2022_ev38,cannons-chrome-2022-8-13,cannons-chrome-2022-8-13,38,,OUT,CAN,Outlaws,Cannons,event_summary
2022,2022_ev39,chrome-redwoods-2022-8-20,chrome-redwoods-2022-8-20,39,,RED,OUT,Redwoods,Outlaws,event_summary
2022,2022_ev40,archers-waterdogs-2022-8-20,archers-waterdogs-2022-8-20,40,,WAT,ARC,Waterdogs,Archers,event_summary
2022,2022_ev41,whipsnakes-cannons-2022-8-21,whipsnakes-cannons-2022-8-21,41,,CAN,WHP,Cannons,Whipsnakes,event_summary
2022,2022_ev42,atlas-chaos-2022-8-21,atlas-chaos-2022-8-21,42,,CHA,ATL,Chaos,Atlas,event_summary
2022,2022_ev43,playoffs-quarterfinal-1-2022-9-3,playoffs-quarterfinal-1-2022-9-3,43,,OUT,CHA,Outlaws,Chaos,event_summary
2022,2022_ev44,playoffs-quarterfinal-2-2022-9-3,playoffs-quarterfinal-2-2022-9-3,44,,ARC,RED,Archers,Redwoods,event_summary
2022,2022_ev45,playoffs-quarterfinal-3-2022-9-3,playoffs-quarterfinal-3-2022-9-3,45,,ATL,WAT,Atlas,Waterdogs,event_summary
2022,2022_ev46,playoffs-semifinal-1-2022-9-11,playoffs-semifinal-1-2022-9-11,46,,ARC,CHA,Archers,Chaos,event_summary
2022,2022_ev47,playoffs-semifinal-2-2022-9-11,playoffs-semifinal-2-2022-9-11,47,,WHP,WAT,Whipsnakes,Waterdogs,event_summary
2022,2022_ev48,championship-2022-9-18,championship-2022-9-18,48,,WAT,CHA,Waterdogs,Chaos,event_summary
2022,2022_ev100,scrimmage-1-2022-5-31,scrimmage-1-2022-5-31,49,,WHP,ARC,Whipsnakes,Archers,event_summary
