raw_team_id,canonical_team_id,raw_team_name,canonical_team_name
ARC,ARC,Archers,Archers
ARCHERS,ARC,ARCHERS,ARCHERS
ATL,ATL,Atlas,Atlas
ATLAS,ATL,ATLAS,ATLAS
BOS,CAN,Boston Cannons,BOS
BOSTON,CAN,BOSTON,BOSTON
BOSTON CANNONS,CAN,BOSTON CANNONS,BOSTON CANNONS
CAN,CAN,Cannons,Cannons
CANNONS,CAN,CANNONS,CANNONS
CHA,CHA,Chaos,Chaos
CHAOS,CHA,CHAOS,CHAOS
CHR,OUT,Chrome,Outlaws
CHROME,OUT,CHROME,CHROME
CHS,CHA,CHS,CHS
DEN,OUT,Denver Outlaws,DEN
DENVER,OUT,DENVER,DENVER
DENVER OUTLAWS,OUT,DENVER OUTLAWS,DENVER OUTLAWS
OUT,OUT,Outlaws,Outlaws
OUTLAWS,OUT,OUTLAWS,OUTLAWS
RED,RED,Redwoods,Redwoods
REDWOODS,RED,REDWOODS,REDWOODS
RW,RED,RW,RW
WAT,WAT,Waterdogs,Waterdogs
WATERDOGS,WAT,WATERDOGS,WATERDOGS
WD,WAT,WD,WD
WHI,WHP,Whipsnakes,WHI
WHIPSNAKES,WHP,WHIPSNAKES,WHIPSNAKES
WHP,WHP,Whipsnakes,Whipsnakes
WSN,WHP,WSN,WSN
