season,team_id,games,team_name,caused_turnovers,saves,scores,split_type,caused_turnovers_for_per_game
2022,ARC,13,Archers,95,143,162,season,7.3076923076923075
2022,ATL,12,Atlas,74,145,153,season,6.166666666666667
2022,CAN,11,Cannons,67,136,115,season,6.090909090909091
2022,CHA,14,Chaos,71,189,138,season,5.071428571428571
2022,OUT,12,Outlaws,77,132,131,season,6.416666666666667
2022,RED,12,Redwoods,78,109,133,season,6.5
2022,WAT,14,Waterdogs,105,168,180,season,7.5
2022,WHP,12,Whipsnakes,72,143,137,season,6.0
2022,ASA,1,,4,17,13,season,4.0
2022,ASH,1,,9,17,33,season,9.0
2023,ARC,12,Archers,80,173,167,season,6.666666666666667
2023,ATL,11,Atlas,59,130,131,season,5.363636363636363
2023,CAN,12,Cannons,116,161,169,season,9.666666666666666
2023,CHA,11,Chaos,73,166,129,season,6.636363636363637
2023,OUT,10,Outlaws,65,120,81,season,6.5
2023,RED,12,Redwoods,83,150,132,season,6.916666666666667
2023,WAT,13,Waterdogs,100,186,175,season,7.6923076923076925
2023,WHP,11,Whipsnakes,64,143,140,season,5.818181818181818
2023,RIS,1,,2,17,19,season,2.0
2023,VET,1,,14,24,26,season,14.0
2024,ARC,12,Archers,70,185,151,season,5.833333333333333
2024,ATL,11,Atlas,85,141,162,season,7.7272727272727275
2024,CAN,11,Cannons,83,141,130,season,7.545454545454546
2024,CHA,12,Chaos,70,162,109,season,5.833333333333333
2024,OUT,11,Outlaws,68,127,127,season,6.181818181818182
2024,RED,10,Redwoods,77,124,104,season,7.7
2024,WAT,10,Waterdogs,84,128,111,season,8.4
2024,WHP,13,Whipsnakes,82,165,166,season,6.3076923076923075
2024,ASE,1,,8,21,15,season,8.0
2024,ASW,1,,10,19,12,season,10.0
2025,ARC,10,Archers,66,146,98,season,6.6
2025,ATL,12,Atlas,83,185,164,season,6.916666666666667
2025,CAN,10,Cannons,81,133,127,season,8.1
2025,CHA,11,Chaos,61,164,122,season,5.545454545454546
2025,OUT,12,Outlaws,79,149,156,season,6.583333333333333
2025,RED,12,Redwoods,85,153,147,season,7.083333333333333
2025,WAT,12,Waterdogs,88,131,149,season,7.333333333333333
2025,WHP,11,Whipsnakes,66,136,131,season,6.0
2025,ASE,1,,8,18,13,season,8.0
2025,ASW,1,,5,16,15,season,5.0
2026,ARC,2,Archers,17,25,15,season,8.5
2026,ATL,2,Atlas,14,33,22,season,7.0
2026,CAN,2,Cannons,18,23,29,season,9.0
2026,CHA,2,Chaos,13,30,26,season,6.5
2026,OUT,2,Outlaws,14,25,17,season,7.0
2026,RED,2,Redwoods,15,27,18,season,7.5
2026,WAT,2,Waterdogs,15,25,21,season,7.5
2026,WHP,2,Whipsnakes,14,29,26,season,7.0
