season,game_id,game_slug,game_number,game_date_utc,team_id,team_name,opponent_team_id,opponent_team_name,scores,goals,shots,shots_on_goal,turnovers,caused_turnovers,saves,touches,total_passes,time_in_possession,offensive_sequence_proxy,score_based_win,score_based_loss
2022,2022_ev1,whipsnakes-chaos-2022-6-04,1,,CHA,Chaos,WHP,Whipsnakes,8,7,21,16,16,3,13,240,203,,37,0,1
2022,2022_ev1,whipsnakes-chaos-2022-6-04,1,,WHP,Whipsnakes,CHA,Chaos,9,9,49,23,10,6,8,218,159,,59,1,0
2022,2022_ev2,redwoods-atlas-2022-6-04,2,,ATL,Atlas,RED,Redwoods,17,16,33,24,17,8,11,239,189,,50,1,0
2022,2022_ev2,redwoods-atlas-2022-6-04,2,,RED,Redwoods,ATL,Atlas,11,10,37,21,19,8,5,200,144,,56,0,1
2022,2022_ev3,waterdogs-cannons-2022-6-05,3,,CAN,Cannons,WAT,Waterdogs,16,16,39,29,17,5,19,232,176,,56,1,0
2022,2022_ev3,waterdogs-cannons-2022-6-05,3,,WAT,Waterdogs,CAN,Cannons,10,10,42,31,14,7,10,224,168,,56,0,1
2022,2022_ev4,chrome-archers-2022-6-05,4,,ARC,Archers,OUT,Outlaws,10,10,40,23,13,4,8,282,229,,53,0,1
2022,2022_ev4,chrome-archers-2022-6-05,4,,OUT,Outlaws,ARC,Archers,11,10,37,21,16,7,11,283,230,,53,1,0
2022,2022_ev5,chrome-redwoods-2022-6-10,5,,OUT,Outlaws,RED,Redwoods,12,12,39,22,15,11,7,278,224,,54,1,0
2022,2022_ev5,chrome-redwoods-2022-6-10,5,,RED,Redwoods,OUT,Outlaws,3,3,23,13,22,4,6,202,157,,45,0,1
2022,2022_ev6,chaos-archers-2022-6-10,6,,ARC,Archers,CHA,Chaos,17,15,36,26,17,4,11,246,193,,53,1,0
2022,2022_ev6,chaos-archers-2022-6-10,6,,CHA,Chaos,ARC,Archers,12,10,37,23,18,6,10,311,256,,55,0,1
2022,2022_ev7,atlas-cannons-2022-6-11,7,,ATL,Atlas,CAN,Cannons,16,14,48,31,16,6,11,299,235,,64,1,0
2022,2022_ev7,atlas-cannons-2022-6-11,7,,CAN,Cannons,ATL,Atlas,8,7,32,18,16,6,13,228,180,,48,0,1
2022,2022_ev8,whipsnakes-waterdogs-2022-6-11,8,,WAT,Waterdogs,WHP,Whipsnakes,11,10,37,23,14,9,14,263,212,,51,0,1
2022,2022_ev8,whipsnakes-waterdogs-2022-6-11,8,,WHP,Whipsnakes,WAT,Waterdogs,12,12,44,27,26,6,13,296,226,,70,1,0
2022,2022_ev9,waterdogs-chrome-2022-6-17,9,,OUT,Outlaws,WAT,Waterdogs,17,17,38,27,15,7,12,279,226,,53,1,0
2022,2022_ev9,waterdogs-chrome-2022-6-17,9,,WAT,Waterdogs,OUT,Outlaws,14,13,38,27,15,4,9,198,145,,53,0,1
2022,2022_ev10,atlas-whipsnakes-2022-6-17,10,,ATL,Atlas,WHP,Whipsnakes,9,7,43,25,16,6,17,268,209,,59,0,1
2022,2022_ev10,atlas-whipsnakes-2022-6-17,10,,WHP,Whipsnakes,ATL,Atlas,12,9,37,30,18,7,18,242,187,,55,1,0
2022,2022_ev11,archers-cannons-2022-6-18,11,,ARC,Archers,CAN,Cannons,20,19,42,30,13,10,15,296,241,,55,1,0
2022,2022_ev11,archers-cannons-2022-6-18,11,,CAN,Cannons,ARC,Archers,9,9,42,26,21,6,11,269,206,,63,0,1
2022,2022_ev12,redwoods-chaos-2022-6-18-1,12,,CHA,Chaos,RED,Redwoods,7,7,20,15,21,2,16,229,188,,41,0,1
2022,2022_ev12,redwoods-chaos-2022-6-18-1,12,,RED,Redwoods,CHA,Chaos,11,10,43,28,12,11,8,287,232,,55,1,0
2022,2022_ev13,redwoods-whipsnakes-2022-6-24,13,,RED,Redwoods,WHP,Whipsnakes,11,10,36,23,16,15,4,238,186,,52,0,1
2022,2022_ev13,redwoods-whipsnakes-2022-6-24,13,,WHP,Whipsnakes,RED,Redwoods,12,11,29,17,24,6,12,248,195,,53,1,0
2022,2022_ev14,chaos-waterdogs-2022-6-24,14,,CHA,Chaos,WAT,Waterdogs,9,9,35,21,18,7,12,262,209,,53,0,1
2022,2022_ev14,chaos-waterdogs-2022-6-24,14,,WAT,Waterdogs,CHA,Chaos,18,15,45,28,13,7,11,283,225,,58,1,0
2022,2022_ev15,cannons-chrome-2022-6-25,15,,CAN,Cannons,OUT,Outlaws,11,11,38,25,19,5,16,258,201,,57,0,1
2022,2022_ev15,cannons-chrome-2022-6-25,15,,OUT,Outlaws,CAN,Cannons,12,12,50,31,18,9,13,307,239,,68,1,0
2022,2022_ev16,archers-atlas-2022-6-25,16,,ARC,Archers,ATL,Atlas,9,9,32,21,19,11,11,244,193,,51,0,1
2022,2022_ev16,archers-atlas-2022-6-25,16,,ATL,Atlas,ARC,Archers,10,10,49,25,20,8,11,294,225,,69,1,0
2022,2022_ev17,archers-redwoods-2022-7-1,17,,ARC,Archers,RED,Redwoods,10,9,38,24,16,8,9,280,226,,54,1,0
2022,2022_ev17,archers-redwoods-2022-7-1,17,,RED,Redwoods,ARC,Archers,9,9,35,20,20,6,12,264,209,,55,0,1
2022,2022_ev18,atlas-chrome-2022-7-1,18,,ATL,Atlas,OUT,Outlaws,14,12,30,21,16,4,11,251,205,,46,1,0
2022,2022_ev18,atlas-chrome-2022-7-1,18,,OUT,Outlaws,ATL,Atlas,13,12,41,27,10,7,7,285,234,,51,0,1
2022,2022_ev19,chaos-cannons-2022-7-2,19,,CAN,Cannons,CHA,Chaos,11,11,50,35,14,6,10,298,234,,64,0,1
2022,2022_ev19,chaos-cannons-2022-7-2,19,,CHA,Chaos,CAN,Cannons,13,13,32,23,14,6,20,224,178,,46,1,0
2022,2022_ev20,whipsnakes-waterdogs-2022-7-2,20,,WAT,Waterdogs,WHP,Whipsnakes,11,11,51,26,14,6,14,263,198,,65,1,0
2022,2022_ev20,whipsnakes-waterdogs-2022-7-2,20,,WHP,Whipsnakes,WAT,Waterdogs,10,9,47,25,16,4,13,280,217,,63,0,1
2022,2022_ev23,redwoods-atlas-2022-7-23,23,,ATL,Atlas,RED,Redwoods,15,14,41,31,14,8,16,220,165,,55,0,1
2022,2022_ev23,redwoods-atlas-2022-7-23,23,,RED,Redwoods,ATL,Atlas,16,13,46,30,17,5,15,255,192,,63,1,0
2022,2022_ev24,whipsnakes-chaos-2022-7-23,24,,CHA,Chaos,WHP,Whipsnakes,12,12,34,21,16,2,15,243,193,,50,0,1
2022,2022_ev24,whipsnakes-chaos-2022-7-23,24,,WHP,Whipsnakes,CHA,Chaos,14,14,50,31,9,3,8,256,197,,59,1,0
2022,2022_ev25,cannons-archers-2022-7-24,25,,ARC,Archers,CAN,Cannons,17,17,44,32,19,4,12,309,246,,63,1,0
2022,2022_ev25,cannons-archers-2022-7-24,25,,CAN,Cannons,ARC,Archers,12,11,33,24,19,5,14,214,162,,52,0,1
2022,2022_ev26,chrome-waterdogs-2022-7-24,26,,OUT,Outlaws,WAT,Waterdogs,10,10,35,21,24,6,15,297,238,,59,0,1
2022,2022_ev26,chrome-waterdogs-2022-7-24,26,,WAT,Waterdogs,OUT,Outlaws,11,10,43,27,17,12,11,273,213,,60,1,0
2022,2022_ev27,archers-atlas-2022-7-30,27,,ARC,Archers,ATL,Atlas,9,9,34,26,15,10,6,282,233,,49,0,1
2022,2022_ev27,archers-atlas-2022-7-30,27,,ATL,Atlas,ARC,Archers,14,13,29,22,21,5,14,243,193,,50,1,0
