season,competition_type,game_id,schedule_slug,game_slug,game_number,week,game_date_utc,team_id_raw,team_name_raw,opponent_team_id_raw,opponent_team_name_raw,team_id,team_name,opponent_team_id,opponent_team_name,is_home,scores,goals,one_point_goals,two_point_goals,assists,shots,shot_pct,shots_on_goal,shots_on_goal_pct,two_point_shots,two_point_shot_pct,two_point_shots_on_goal,ground_balls,turnovers,caused_turnovers,faceoff_pct,faceoffs,faceoffs_won,faceoffs_lost,saves,clean_saves,messy_saves,save_pct,clean_save_pct,scores_against,goals_against,num_penalties,pim,power_play_pct,power_play_goals,power_play_shots,power_play_goals_against,power_play_goals_against_pct,times_man_up,times_short_handed,man_down_pct,ride_attempts,clear_attempts,clears,clear_pct,shot_clock_expirations,two_point_goals_against,touches,total_passes,time_in_possession,time_in_possession_pct,total_possessions,source_path,total_possessions_raw,time_in_possession_raw,time_in_possession_pct_raw,official_total_possessions,offensive_sequence_proxy,implied_game_clock_seconds,possession_data_status,possession_time_available,median_implied_game_clock,median_implied_game_clock_display,implied_clock_range,possession_data_note,time_in_possession_available_game,time_in_possession_display,time_in_possession_pct_display,implied_game_clock_display,passes_per_touch,seconds_possession_per_touch,touches_per_offensive_sequence_proxy,passes_per_offensive_sequence_proxy,win_flag,loss_flag,tie_flag,score_margin,result
2022,regular,2022_ev1,whipsnakes-chaos-2022-6-04,whipsnakes-chaos-2022-6-04,1,1,2022-06-04,CHA,Chaos,WHP,Whipsnakes,CHA,Chaos,WHP,Whipsnakes,1,8,7,6,1,4,21,0.33333,16,0.7619,3,0.33333,3,23,16,3,0.4,20,8,12,13,4,9,0.59091,0.3076923076923077,9,9,2,1.0,0.0,0,0,0,0.0,0,2,1.0,26,29,28,0.96552,4,0,240,203,1174.0,0.40764,35,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_whipsnakes-chaos-2022-6-04/team_game_stats.json.gz,35,1174,0.40764,35.0,41,2879.992149936218,normal,True,2879.997591757067,48:00,0.010883641697546409,Normal possession clock.,1,19:34,40.76%,48:00,0.8458333333333333,4.891666666666667,5.853658536585366,4.951219512195122,0.0,1.0,0.0,-1.0,L
2022,regular,2022_ev1,whipsnakes-chaos-2022-6-04,whipsnakes-chaos-2022-6-04,1,1,2022-06-04,WHP,Whipsnakes,CHA,Chaos,WHP,Whipsnakes,CHA,Chaos,0,9,9,9,0,2,49,0.18367,23,0.46939,2,0.0,1,23,10,6,0.6,20,12,8,8,4,4,0.53333,0.5,8,7,0,0.0,0.0,0,2,0,0.0,2,0,0.0,29,26,26,1.0,3,1,218,159,1519.0,0.52743,37,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_whipsnakes-chaos-2022-6-04/team_game_stats.json.gz,37,1519,0.52743,37.0,62,2880.0030335779156,normal,True,2879.997591757067,48:00,0.010883641697546409,Normal possession clock.,1,25:19,52.74%,48:00,0.7293577981651376,6.967889908256881,3.5161290322580645,2.564516129032258,1.0,0.0,0.0,1.0,W
2022,regular,2022_ev2,redwoods-atlas-2022-6-04,redwoods-atlas-2022-6-04,2,1,2022-06-04,ATL,Atlas,RED,Redwoods,ATL,Atlas,RED,Redwoods,1,17,16,15,1,13,33,0.48485,24,0.72727,3,0.33333,3,28,17,8,0.56667,30,17,13,11,3,8,0.52381,0.2727272727272727,11,10,3,2.0,0.5,1,3,1,0.33333,2,3,0.66667,20,25,24,0.96,3,1,239,189,1350.0,0.46875,44,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_redwoods-atlas-2022-6-04/team_game_stats.json.gz,44,1350,0.46875,44.0,53,2880.0,normal,True,2879.9851356373097,48:00,0.0297287253806644,Normal possession clock.,1,22:30,46.88%,48:00,0.7907949790794979,5.648535564853557,4.509433962264151,3.5660377358490565,1.0,0.0,0.0,6.0,W
2022,regular,2022_ev2,redwoods-atlas-2022-6-04,redwoods-atlas-2022-6-04,2,1,2022-06-04,RED,Redwoods,ATL,Atlas,RED,Redwoods,ATL,Atlas,0,11,10,9,1,6,37,0.27027,21,0.56757,5,0.2,2,32,19,8,0.43333,30,13,17,5,2,3,0.2381,0.4,17,16,2,2.0,0.33333,1,5,1,0.5,3,2,0.5,25,20,20,1.0,3,1,200,144,1240.0,0.43056,37,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_redwoods-atlas-2022-6-04/team_game_stats.json.gz,37,1240,0.43056,37.0,59,2879.9702712746193,normal,True,2879.9851356373097,48:00,0.0297287253806644,Normal possession clock.,1,20:40,43.06%,48:00,0.72,6.2,3.389830508474576,2.440677966101695,0.0,1.0,0.0,-6.0,L
2022,regular,2022_ev3,waterdogs-cannons-2022-6-05,waterdogs-cannons-2022-6-05,3,1,2022-06-05,CAN,Cannons,WAT,Waterdogs,CAN,Cannons,WAT,Waterdogs,1,16,16,16,0,8,39,0.41026,29,0.74359,2,0.0,1,31,17,5,0.53333,30,16,14,19,7,12,0.65517,0.3684210526315789,10,10,4,2.0,0.5,1,3,1,0.25,2,4,0.75,29,32,31,0.96875,1,0,232,176,1149.0,0.39896,46,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_waterdogs-cannons-2022-6-05/team_game_stats.json.gz,46,1149,0.39896,46.0,57,2879.9879687186685,normal,True,2879.986088583574,48:00,0.0037602701886498835,Normal possession clock.,1,19:09,39.90%,48:00,0.7586206896551724,4.952586206896552,4.0701754385964914,3.087719298245614,1.0,0.0,0.0,6.0,W
2022,regular,2022_ev3,waterdogs-cannons-2022-6-05,waterdogs-cannons-2022-6-05,3,1,2022-06-05,WAT,Waterdogs,CAN,Cannons,WAT,Waterdogs,CAN,Cannons,0,10,10,10,0,4,42,0.2381,31,0.7381,4,0.0,4,35,14,7,0.46667,30,14,16,10,3,7,0.38462,0.3,16,16,2,1.0,0.25,1,5,1,0.5,4,2,0.5,32,29,29,1.0,0,0,224,168,1459.0,0.5066,42,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_waterdogs-cannons-2022-6-05/team_game_stats.json.gz,42,1459,0.5066,42.0,56,2879.98420844848,normal,True,2879.986088583574,48:00,0.0037602701886498835,Normal possession clock.,1,24:19,50.66%,48:00,0.75,6.513392857142857,4.0,3.0,0.0,1.0,0.0,-6.0,L
2022,regular,2022_ev4,chrome-archers-2022-6-05,chrome-archers-2022-6-05,4,1,2022-06-05,ARC,Archers,CHR,Chrome,ARC,Archers,OUT,Outlaws,1,10,10,10,0,8,40,0.25,23,0.575,3,0.0,1,34,13,4,0.41667,24,10,14,8,1,7,0.44444,0.125,11,10,5,5.0,0.5,1,1,2,0.33333,2,6,0.66667,27,30,30,1.0,2,1,282,229,1379.0,0.47882,39,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_chrome-archers-2022-6-05/team_game_stats.json.gz,39,1379,0.47882,39.0,55,2879.996658452028,normal,True,2879.9948330281295,48:00,0.0036508477974166453,Normal possession clock.,1,22:59,47.88%,48:00,0.8120567375886525,4.890070921985815,5.127272727272727,4.163636363636364,0.0,1.0,0.0,-1.0,L
2022,regular,2022_ev4,chrome-archers-2022-6-05,chrome-archers-2022-6-05,4,1,2022-06-05,CHR,Chrome,ARC,Archers,OUT,Outlaws,ARC,Archers,0,11,10,9,1,6,37,0.27027,21,0.56757,2,0.5,1,32,16,7,0.58333,24,14,10,11,2,9,0.52381,0.18181818181818182,10,10,5,5.5,0.33333,2,3,1,0.5,6,2,0.5,30,27,27,1.0,1,0,283,230,1318.0,0.45764,39,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_chrome-archers-2022-6-05/team_game_stats.json.gz,39,1318,0.45764,39.0,54,2879.9930076042306,normal,True,2879.9948330281295,48:00,0.0036508477974166453,Normal possession clock.,1,21:58,45.76%,48:00,0.8127208480565371,4.657243816254417,5.2407407407407405,4.2592592592592595,1.0,0.0,0.0,1.0,W
2022,regular,2022_ev5,chrome-redwoods-2022-6-10,chrome-redwoods-2022-6-10,5,2,2022-06-10,CHR,Chrome,RED,Redwoods,OUT,Outlaws,RED,Redwoods,0,12,12,12,0,6,39,0.30769,22,0.5641,3,0.0,2,39,15,11,0.63158,19,12,7,7,0,7,0.7,0.0,3,3,2,2.0,0.0,0,2,1,0.5,2,2,0.5,20,25,25,1.0,4,0,278,224,1547.0,0.53715,39,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_chrome-redwoods-2022-6-10/team_game_stats.json.gz,39,1547,0.53715,39.0,58,2880.0148934189706,normal,True,2880.025878945418,48:00,0.021971052894514287,Normal possession clock.,1,25:47,53.72%,48:00,0.8057553956834532,5.5647482014388485,4.793103448275862,3.8620689655172415,1.0,0.0,0.0,9.0,W
2022,regular,2022_ev5,chrome-redwoods-2022-6-10,chrome-redwoods-2022-6-10,5,2,2022-06-10,RED,Redwoods,CHR,Chrome,RED,Redwoods,OUT,Outlaws,1,3,3,3,0,3,23,0.13043,13,0.56522,2,0.0,1,24,22,4,0.36842,19,7,12,6,3,3,0.33333,0.5,12,12,2,2.0,0.5,1,1,0,0.0,2,2,1.0,25,20,20,1.0,2,0,202,157,1125.0,0.39062,32,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_chrome-redwoods-2022-6-10/team_game_stats.json.gz,32,1125,0.39062,32.0,47,2880.036864471865,normal,True,2880.025878945418,48:00,0.021971052894514287,Normal possession clock.,1,18:45,39.06%,48:00,0.7772277227722773,5.569306930693069,4.297872340425532,3.3404255319148937,0.0,1.0,0.0,-9.0,L
