season,competition_type,game_id,schedule_slug,game_slug,game_number,week,game_date_utc,team_id,team_name,opponent_team_id,opponent_team_name,is_home,team_scores,team_goals,team_one_point_goals,team_two_point_goals,team_assists,team_shots,team_shots_on_goal,team_ground_balls,team_turnovers,caused_turnovers_for,team_faceoffs,team_faceoffs_won,team_faceoffs_lost,saves_for,team_clears,team_clear_attempts,team_touches,team_total_passes,team_time_in_possession,team_offensive_sequence_proxy,scores_allowed,goals_allowed,one_point_goals_allowed,two_point_goals_allowed,assists_allowed,opponent_shots,opponent_shots_on_goal,opponent_two_point_shots,opponent_two_point_shots_on_goal,opponent_ground_balls,opponent_turnovers,opponent_caused_turnovers,opponent_faceoffs,opponent_faceoffs_won,opponent_faceoffs_lost,opponent_saves,opponent_clears,opponent_clear_attempts,opponent_touches,opponent_total_passes,opponent_time_in_possession,opponent_offensive_sequence_proxy,opponent_scores_check,opponent_goals_check,score_margin,win_flag,loss_flag,opponent_goal_pct,opponent_sog_rate,opponent_sog_goal_pct,save_pct_proxy,ct_per_opponent_turnover,opponent_scores_per_offensive_sequence_proxy,opponent_goals_per_shot
2022,regular,2022_ev1,whipsnakes-chaos-2022-6-04,whipsnakes-chaos-2022-6-04,1,1,2022-06-04,CHA,Chaos,WHP,Whipsnakes,1,8,7,6,1,4,21,16,23,16,3,20,8,12,13,28,29,240,203,1174.0,41,9,9,9,0,2,49,23,2,1,23,10,6,20,12,8,8,26,26,218,159,1519.0,62,9,9,-1,0.0,1.0,0.1836734693877551,0.46938775510204084,0.391304347826087,0.5909090909090909,0.3,0.14516129032258066,0.1836734693877551
2022,regular,2022_ev1,whipsnakes-chaos-2022-6-04,whipsnakes-chaos-2022-6-04,1,1,2022-06-04,WHP,Whipsnakes,CHA,Chaos,0,9,9,9,0,2,49,23,23,10,6,20,12,8,8,26,26,218,159,1519.0,62,8,7,6,1,4,21,16,3,3,23,16,3,20,8,12,13,28,29,240,203,1174.0,41,8,7,1,1.0,0.0,0.3333333333333333,0.7619047619047619,0.4375,0.5333333333333333,0.375,0.1951219512195122,0.3333333333333333
2022,regular,2022_ev2,redwoods-atlas-2022-6-04,redwoods-atlas-2022-6-04,2,1,2022-06-04,ATL,Atlas,RED,Redwoods,1,17,16,15,1,13,33,24,28,17,8,30,17,13,11,24,25,239,189,1350.0,53,11,10,9,1,6,37,21,5,2,32,19,8,30,13,17,5,20,20,200,144,1240.0,59,11,10,6,1.0,0.0,0.2702702702702703,0.5675675675675675,0.47619047619047616,0.5238095238095238,0.42105263157894735,0.1864406779661017,0.2702702702702703
2022,regular,2022_ev2,redwoods-atlas-2022-6-04,redwoods-atlas-2022-6-04,2,1,2022-06-04,RED,Redwoods,ATL,Atlas,0,11,10,9,1,6,37,21,32,19,8,30,13,17,5,20,20,200,144,1240.0,59,17,16,15,1,13,33,24,3,3,28,17,8,30,17,13,11,24,25,239,189,1350.0,53,17,16,-6,0.0,1.0,0.48484848484848486,0.7272727272727273,0.6666666666666666,0.23809523809523808,0.47058823529411764,0.32075471698113206,0.48484848484848486
2022,regular,2022_ev3,waterdogs-cannons-2022-6-05,waterdogs-cannons-2022-6-05,3,1,2022-06-05,CAN,Cannons,WAT,Waterdogs,1,16,16,16,0,8,39,29,31,17,5,30,16,14,19,31,32,232,176,1149.0,57,10,10,10,0,4,42,31,4,4,35,14,7,30,14,16,10,29,29,224,168,1459.0,56,10,10,6,1.0,0.0,0.23809523809523808,0.7380952380952381,0.3225806451612903,0.6551724137931034,0.35714285714285715,0.17857142857142858,0.23809523809523808
2022,regular,2022_ev3,waterdogs-cannons-2022-6-05,waterdogs-cannons-2022-6-05,3,1,2022-06-05,WAT,Waterdogs,CAN,Cannons,0,10,10,10,0,4,42,31,35,14,7,30,14,16,10,29,29,224,168,1459.0,56,16,16,16,0,8,39,29,2,1,31,17,5,30,16,14,19,31,32,232,176,1149.0,57,16,16,-6,0.0,1.0,0.41025641025641024,0.7435897435897436,0.5517241379310345,0.38461538461538464,0.4117647058823529,0.2807017543859649,0.41025641025641024
2022,regular,2022_ev4,chrome-archers-2022-6-05,chrome-archers-2022-6-05,4,1,2022-06-05,ARC,Archers,OUT,Outlaws,1,10,10,10,0,8,40,23,34,13,4,24,10,14,8,30,30,282,229,1379.0,55,11,10,9,1,6,37,21,2,1,32,16,7,24,14,10,11,27,27,283,230,1318.0,54,11,10,-1,0.0,1.0,0.2702702702702703,0.5675675675675675,0.47619047619047616,0.4444444444444444,0.25,0.2037037037037037,0.2702702702702703
2022,regular,2022_ev4,chrome-archers-2022-6-05,chrome-archers-2022-6-05,4,1,2022-06-05,OUT,Outlaws,ARC,Archers,0,11,10,9,1,6,37,21,32,16,7,24,14,10,11,27,27,283,230,1318.0,54,10,10,10,0,8,40,23,3,1,34,13,4,24,10,14,8,30,30,282,229,1379.0,55,10,10,1,1.0,0.0,0.25,0.575,0.43478260869565216,0.5238095238095238,0.5384615384615384,0.18181818181818182,0.25
2022,regular,2022_ev5,chrome-redwoods-2022-6-10,chrome-redwoods-2022-6-10,5,2,2022-06-10,OUT,Outlaws,RED,Redwoods,0,12,12,12,0,6,39,22,39,15,11,19,12,7,7,25,25,278,224,1547.0,58,3,3,3,0,3,23,13,2,1,24,22,4,19,7,12,6,20,20,202,157,1125.0,47,3,3,9,1.0,0.0,0.13043478260869565,0.5652173913043478,0.23076923076923078,0.7,0.5,0.06382978723404255,0.13043478260869565
2022,regular,2022_ev5,chrome-redwoods-2022-6-10,chrome-redwoods-2022-6-10,5,2,2022-06-10,RED,Redwoods,OUT,Outlaws,1,3,3,3,0,3,23,13,24,22,4,19,7,12,6,20,20,202,157,1125.0,47,12,12,12,0,6,39,22,3,2,39,15,11,19,12,7,7,25,25,278,224,1547.0,58,12,12,-9,0.0,1.0,0.3076923076923077,0.5641025641025641,0.5454545454545454,0.3333333333333333,0.26666666666666666,0.20689655172413793,0.3076923076923077
