season,game_id,game_slug,schedule_slug,game_number,game_date_utc,team_id,team_name,opponent_team_id,opponent_team_name,scores,scores_against,touches,total_passes,time_in_possession_raw,time_in_possession,time_in_possession_display,time_in_possession_pct_raw,time_in_possession_pct,time_in_possession_pct_display,implied_game_clock_seconds,implied_game_clock_display,median_implied_game_clock,median_implied_game_clock_display,total_possessions_raw,official_total_possessions,offensive_sequence_proxy,passes_per_touch,seconds_possession_per_touch,touches_per_offensive_sequence_proxy,passes_per_offensive_sequence_proxy,time_in_possession_available_game,possession_time_available,possession_data_status,possession_data_note
2022,2022_ev1,whipsnakes-chaos-2022-6-04,whipsnakes-chaos-2022-6-04,1,2022-06-04,CHA,Chaos,WHP,Whipsnakes,8,9,240,203,1174,1174.0,19:34,0.40764,0.40764,40.76%,2879.992149936218,48:00,2879.997591757067,48:00,35,35.0,41,0.8458333333333333,4.891666666666667,5.853658536585366,4.951219512195122,1,True,normal,Normal possession clock.
2022,2022_ev1,whipsnakes-chaos-2022-6-04,whipsnakes-chaos-2022-6-04,1,2022-06-04,WHP,Whipsnakes,CHA,Chaos,9,8,218,159,1519,1519.0,25:19,0.52743,0.52743,52.74%,2880.0030335779156,48:00,2879.997591757067,48:00,37,37.0,62,0.7293577981651376,6.967889908256881,3.5161290322580645,2.564516129032258,1,True,normal,Normal possession clock.
2022,2022_ev2,redwoods-atlas-2022-6-04,redwoods-atlas-2022-6-04,2,2022-06-04,ATL,Atlas,RED,Redwoods,17,11,239,189,1350,1350.0,22:30,0.46875,0.46875,46.88%,2880.0,48:00,2879.9851356373097,48:00,44,44.0,53,0.7907949790794979,5.648535564853557,4.509433962264151,3.5660377358490565,1,True,normal,Normal possession clock.
2022,2022_ev2,redwoods-atlas-2022-6-04,redwoods-atlas-2022-6-04,2,2022-06-04,RED,Redwoods,ATL,Atlas,11,17,200,144,1240,1240.0,20:40,0.43056,0.43056,43.06%,2879.9702712746193,48:00,2879.9851356373097,48:00,37,37.0,59,0.72,6.2,3.389830508474576,2.440677966101695,1,True,normal,Normal possession clock.
2022,2022_ev3,waterdogs-cannons-2022-6-05,waterdogs-cannons-2022-6-05,3,2022-06-05,CAN,Cannons,WAT,Waterdogs,16,10,232,176,1149,1149.0,19:09,0.39896,0.39896,39.90%,2879.9879687186685,48:00,2879.986088583574,48:00,46,46.0,57,0.7586206896551724,4.952586206896552,4.0701754385964914,3.087719298245614,1,True,normal,Normal possession clock.
2022,2022_ev3,waterdogs-cannons-2022-6-05,waterdogs-cannons-2022-6-05,3,2022-06-05,WAT,Waterdogs,CAN,Cannons,10,16,224,168,1459,1459.0,24:19,0.5066,0.5066,50.66%,2879.98420844848,48:00,2879.986088583574,48:00,42,42.0,56,0.75,6.513392857142857,4.0,3.0,1,True,normal,Normal possession clock.
2022,2022_ev4,chrome-archers-2022-6-05,chrome-archers-2022-6-05,4,2022-06-05,ARC,Archers,OUT,Outlaws,10,11,282,229,1379,1379.0,22:59,0.47882,0.47882,47.88%,2879.996658452028,48:00,2879.9948330281295,48:00,39,39.0,55,0.8120567375886525,4.890070921985815,5.127272727272727,4.163636363636364,1,True,normal,Normal possession clock.
2022,2022_ev4,chrome-archers-2022-6-05,chrome-archers-2022-6-05,4,2022-06-05,OUT,Outlaws,ARC,Archers,11,10,283,230,1318,1318.0,21:58,0.45764,0.45764,45.76%,2879.9930076042306,48:00,2879.9948330281295,48:00,39,39.0,54,0.8127208480565371,4.657243816254417,5.2407407407407405,4.2592592592592595,1,True,normal,Normal possession clock.
2022,2022_ev5,chrome-redwoods-2022-6-10,chrome-redwoods-2022-6-10,5,2022-06-10,OUT,Outlaws,RED,Redwoods,12,3,278,224,1547,1547.0,25:47,0.53715,0.53715,53.72%,2880.0148934189706,48:00,2880.025878945418,48:00,39,39.0,58,0.8057553956834532,5.5647482014388485,4.793103448275862,3.8620689655172415,1,True,normal,Normal possession clock.
2022,2022_ev5,chrome-redwoods-2022-6-10,chrome-redwoods-2022-6-10,5,2022-06-10,RED,Redwoods,OUT,Outlaws,3,12,202,157,1125,1125.0,18:45,0.39062,0.39062,39.06%,2880.036864471865,48:00,2880.025878945418,48:00,32,32.0,47,0.7772277227722773,5.569306930693069,4.297872340425532,3.3404255319148937,1,True,normal,Normal possession clock.
2022,2022_ev6,chaos-archers-2022-6-10,chaos-archers-2022-6-10,6,2022-06-11,ARC,Archers,CHA,Chaos,17,12,246,193,1238,1238.0,20:38,0.42986,0.42986,42.99%,2880.0074442841856,48:00,2880.0152504688385,48:00,41,41.0,54,0.7845528455284553,5.032520325203252,4.555555555555555,3.574074074074074,1,True,normal,Normal possession clock.
2022,2022_ev6,chaos-archers-2022-6-10,chaos-archers-2022-6-10,6,2022-06-11,CHA,Chaos,ARC,Archers,12,17,311,256,1399,1399.0,23:19,0.48576,0.48576,48.58%,2880.0230566534915,48:00,2880.0152504688385,48:00,40,40.0,60,0.8231511254019293,4.498392282958199,5.183333333333334,4.266666666666667,1,True,normal,Normal possession clock.
2022,2022_ev7,atlas-cannons-2022-6-11,atlas-cannons-2022-6-11,7,2022-06-11,ATL,Atlas,CAN,Cannons,16,8,299,235,1426,1426.0,23:46,0.49514,0.49514,49.51%,2879.993537181403,48:00,2880.0115854634155,48:00,47,47.0,66,0.7859531772575251,4.769230769230769,4.53030303030303,3.5606060606060606,1,True,normal,Normal possession clock.
2022,2022_ev7,atlas-cannons-2022-6-11,atlas-cannons-2022-6-11,7,2022-06-11,CAN,Cannons,ATL,Atlas,8,16,228,180,1244,1244.0,20:44,0.43194,0.43194,43.19%,2880.029633745428,48:00,2880.0115854634155,48:00,36,36.0,50,0.7894736842105263,5.456140350877193,4.56,3.6,1,True,normal,Normal possession clock.
2022,2022_ev8,whipsnakes-waterdogs-2022-6-11,whipsnakes-waterdogs-2022-6-11,8,2022-06-12,WAT,Waterdogs,WHP,Whipsnakes,11,12,263,212,1177,1177.0,19:37,0.37188,0.37188,37.19%,3164.999462192105,52:45,3164.986521467701,52:45,41,41.0,51,0.8060836501901141,4.475285171102661,5.1568627450980395,4.1568627450980395,1,True,extended_or_ot_clock,Provider clock appears longer than regulation; likely overtime or extended provider denominator.
2022,2022_ev8,whipsnakes-waterdogs-2022-6-11,whipsnakes-waterdogs-2022-6-11,8,2022-06-12,WHP,Whipsnakes,WAT,Waterdogs,12,11,296,226,1779,1779.0,29:39,0.56209,0.56209,56.21%,3164.9735807432976,52:45,3164.986521467701,52:45,49,49.0,76,0.7635135135135135,6.010135135135135,3.8947368421052633,2.973684210526316,1,True,extended_or_ot_clock,Provider clock appears longer than regulation; likely overtime or extended provider denominator.
2022,2022_ev9,waterdogs-chrome-2022-6-17,waterdogs-chrome-2022-6-17,9,2022-06-17,OUT,Outlaws,WAT,Waterdogs,17,14,279,226,1512,1512.0,25:12,0.52373,0.52373,52.37%,2886.9837511694955,48:07,2886.992855336544,48:07,42,42.0,58,0.8100358422939068,5.419354838709677,4.810344827586207,3.896551724137931,1,True,normal,Normal possession clock.
2022,2022_ev9,waterdogs-chrome-2022-6-17,waterdogs-chrome-2022-6-17,9,2022-06-17,WAT,Waterdogs,OUT,Outlaws,14,17,198,145,1105,1105.0,18:25,0.38275,0.38275,38.27%,2887.0019595035924,48:07,2886.992855336544,48:07,37,37.0,55,0.7323232323232324,5.58080808080808,3.6,2.6363636363636362,1,True,normal,Normal possession clock.
2022,2022_ev10,atlas-whipsnakes-2022-6-17,atlas-whipsnakes-2022-6-17,10,2022-06-18,ATL,Atlas,WHP,Whipsnakes,9,12,268,209,1542,1542.0,25:42,0.53542,0.53542,53.54%,2879.982070150536,48:00,2879.9827023929256,48:00,40,40.0,61,0.7798507462686567,5.753731343283582,4.39344262295082,3.4262295081967213,1,True,normal,Normal possession clock.
2022,2022_ev10,atlas-whipsnakes-2022-6-17,atlas-whipsnakes-2022-6-17,10,2022-06-18,WHP,Whipsnakes,ATL,Atlas,12,9,242,187,1106,1106.0,18:26,0.38403,0.38403,38.40%,2879.9833346353153,48:00,2879.9827023929256,48:00,38,38.0,57,0.7727272727272727,4.570247933884297,4.245614035087719,3.280701754385965,1,True,normal,Normal possession clock.
2022,2022_ev11,archers-cannons-2022-6-18,archers-cannons-2022-6-18,11,2022-06-18,ARC,Archers,CAN,Cannons,20,9,296,241,1363,1363.0,22:43,0.47326,0.47326,47.33%,2880.023665638338,48:00,2880.0211157154326,48:00,45,45.0,57,0.8141891891891891,4.60472972972973,5.192982456140351,4.228070175438597,1,True,normal,Normal possession clock.
2022,2022_ev11,archers-cannons-2022-6-18,archers-cannons-2022-6-18,11,2022-06-18,CAN,Cannons,ARC,Archers,9,20,269,206,1241,1241.0,20:41,0.4309,0.4309,43.09%,2880.018565792527,48:00,2880.0211157154326,48:00,42,42.0,63,0.7657992565055762,4.613382899628252,4.26984126984127,3.2698412698412698,1,True,normal,Normal possession clock.
2022,2022_ev12,redwoods-chaos-2022-6-18-1,redwoods-chaos-2022-6-18-1,12,2022-06-18,CHA,Chaos,RED,Redwoods,7,11,229,188,1367,1367.0,22:47,0.47465,0.47465,47.47%,2880.0168545243864,48:00,2880.0050240206056,48:00,38,38.0,43,0.8209606986899564,5.96943231441048,5.325581395348837,4.372093023255814,1,True,normal,Normal possession clock.
2022,2022_ev12,redwoods-chaos-2022-6-18-1,redwoods-chaos-2022-6-18-1,12,2022-06-18,RED,Redwoods,CHA,Chaos,11,7,287,232,1354,1354.0,22:34,0.47014,0.47014,47.01%,2879.9931935168247,48:00,2880.0050240206056,48:00,41,41.0,61,0.8083623693379791,4.7177700348432055,4.704918032786885,3.80327868852459,1,True,normal,Normal possession clock.
2022,2022_ev13,redwoods-whipsnakes-2022-6-24,redwoods-whipsnakes-2022-6-24,13,2022-06-24,RED,Redwoods,WHP,Whipsnakes,11,12,238,186,1196,1196.0,19:56,0.41528,0.41528,41.53%,2879.984588711231,48:00,2879.9814044987393,48:00,39,39.0,54,0.7815126050420168,5.025210084033613,4.407407407407407,3.4444444444444446,1,True,normal,Normal possession clock.
2022,2022_ev13,redwoods-whipsnakes-2022-6-24,redwoods-whipsnakes-2022-6-24,13,2022-06-24,WHP,Whipsnakes,RED,Redwoods,12,11,248,195,1481,1481.0,24:41,0.51424,0.51424,51.42%,2879.9782202862475,48:00,2879.9814044987393,48:00,42,42.0,56,0.7862903225806451,5.971774193548387,4.428571428571429,3.482142857142857,1,True,normal,Normal possession clock.
2022,2022_ev14,chaos-waterdogs-2022-6-24,chaos-waterdogs-2022-6-24,14,2022-06-25,CHA,Chaos,WAT,Waterdogs,9,18,262,209,1256,1256.0,20:56,0.43611,0.43611,43.61%,2880.0073375983125,48:00,2880.006837994577,48:00,36,36.0,56,0.7977099236641222,4.793893129770993,4.678571428571429,3.732142857142857,1,True,normal,Normal possession clock.
2022,2022_ev14,chaos-waterdogs-2022-6-24,chaos-waterdogs-2022-6-24,14,2022-06-25,WAT,Waterdogs,CHA,Chaos,18,9,283,225,1454,1454.0,24:14,0.50486,0.50486,50.49%,2880.0063383908414,48:00,2880.006837994577,48:00,42,42.0,58,0.7950530035335689,5.137809187279152,4.879310344827586,3.8793103448275863,1,True,normal,Normal possession clock.
2022,2022_ev15,cannons-chrome-2022-6-25,cannons-chrome-2022-6-25,15,2022-06-25,CAN,Cannons,OUT,Outlaws,11,12,258,201,1214,1214.0,20:14,0.40372,0.40372,40.37%,3007.0345784206875,50:07,3007.030782519755,50:07,47,47.0,61,0.7790697674418605,4.705426356589148,4.229508196721311,3.2950819672131146,1,True,normal,Normal possession clock.
2022,2022_ev15,cannons-chrome-2022-6-25,cannons-chrome-2022-6-25,15,2022-06-25,OUT,Outlaws,CAN,Cannons,12,11,307,239,1609,1609.0,26:49,0.53508,0.53508,53.51%,3007.0269866188232,50:07,3007.030782519755,50:07,50,50.0,71,0.7785016286644951,5.241042345276873,4.323943661971831,3.3661971830985915,1,True,normal,Normal possession clock.
2022,2022_ev16,archers-atlas-2022-6-25,archers-atlas-2022-6-25,16,2022-06-26,ARC,Archers,ATL,Atlas,9,10,244,193,1247,1247.0,20:47,0.43299,0.43299,43.30%,2879.9741333518095,48:00,2880.0010304476746,48:00,37,37.0,53,0.7909836065573771,5.110655737704918,4.60377358490566,3.641509433962264,1,True,normal,Normal possession clock.
2022,2022_ev16,archers-atlas-2022-6-25,archers-atlas-2022-6-25,16,2022-06-26,ATL,Atlas,ARC,Archers,10,9,294,225,1485,1485.0,24:45,0.51562,0.51562,51.56%,2880.02792754354,48:00,2880.0010304476746,48:00,47,47.0,71,0.7653061224489796,5.051020408163265,4.140845070422535,3.1690140845070425,1,True,normal,Normal possession clock.
2022,2022_ev17,archers-redwoods-2022-7-1,archers-redwoods-2022-7-1,17,2022-07-01,ARC,Archers,RED,Redwoods,10,9,280,226,1346,1346.0,22:26,0.46736,0.46736,46.74%,2880.0068469702155,48:00,2879.9910269738402,48:00,36,36.0,56,0.8071428571428572,4.807142857142857,5.0,4.035714285714286,1,True,normal,Normal possession clock.
2022,2022_ev17,archers-redwoods-2022-7-1,archers-redwoods-2022-7-1,17,2022-07-01,RED,Redwoods,ARC,Archers,9,10,264,209,1301,1301.0,21:41,0.45174,0.45174,45.17%,2879.975206977465,48:00,2879.9910269738402,48:00,37,37.0,59,0.7916666666666666,4.928030303030303,4.47457627118644,3.542372881355932,1,True,normal,Normal possession clock.
2022,2022_ev18,atlas-chrome-2022-7-1,atlas-chrome-2022-7-1,18,2022-07-02,ATL,Atlas,OUT,Outlaws,14,13,251,205,1470,1470.0,24:30,0.51042,0.51042,51.04%,2879.9811919595627,48:00,2879.9984061916334,48:00,37,37.0,48,0.8167330677290837,5.856573705179283,5.229166666666667,4.270833333333333,1,True,normal,Normal possession clock.
2022,2022_ev18,atlas-chrome-2022-7-1,atlas-chrome-2022-7-1,18,2022-07-02,OUT,Outlaws,ATL,Atlas,13,14,285,234,1180,1180.0,19:40,0.40972,0.40972,40.97%,2880.015620423704,48:00,2879.9984061916334,48:00,34,34.0,53,0.8210526315789474,4.140350877192983,5.377358490566038,4.415094339622642,1,True,normal,Normal possession clock.
2022,2022_ev19,chaos-cannons-2022-7-2,chaos-cannons-2022-7-2,19,2022-07-02,CAN,Cannons,CHA,Chaos,11,13,298,234,1675,1675.0,27:55,0.5816,0.5816,58.16%,2879.9862448418157,48:00,2879.976913558133,48:00,41,41.0,64,0.785234899328859,5.620805369127517,4.65625,3.65625,1,True,normal,Normal possession clock.
2022,2022_ev19,chaos-cannons-2022-7-2,chaos-cannons-2022-7-2,19,2022-07-02,CHA,Chaos,CAN,Cannons,13,11,224,178,995,995.0,16:35,0.34549,0.34549,34.55%,2879.9675822744507,48:00,2879.976913558133,48:00,38,38.0,48,0.7946428571428571,4.441964285714286,4.666666666666667,3.7083333333333335,1,True,normal,Normal possession clock.
2022,2022_ev20,whipsnakes-waterdogs-2022-7-2,whipsnakes-waterdogs-2022-7-2,20,2022-07-03,WAT,Waterdogs,WHP,Whipsnakes,11,10,263,198,1362,1362.0,22:42,0.47292,0.47292,47.29%,2879.979700583608,48:00,2879.9812081831296,48:00,39,39.0,69,0.752851711026616,5.178707224334601,3.8115942028985508,2.869565217391304,1,True,normal,Normal possession clock.
2022,2022_ev20,whipsnakes-waterdogs-2022-7-2,whipsnakes-waterdogs-2022-7-2,20,2022-07-03,WHP,Whipsnakes,WAT,Waterdogs,10,11,280,217,1333,1333.0,22:13,0.46285,0.46285,46.28%,2879.982715782651,48:00,2879.9812081831296,48:00,41,41.0,63,0.775,4.760714285714286,4.444444444444445,3.4444444444444446,1,True,normal,Normal possession clock.
2022,2022_ev23,redwoods-atlas-2022-7-23,redwoods-atlas-2022-7-23,21,2022-07-23,ATL,Atlas,RED,Redwoods,15,16,220,165,1256,1256.0,20:56,0.43611,0.43611,43.61%,2880.0073375983125,48:00,2880.003668799156,48:00,41,41.0,57,0.75,5.709090909090909,3.8596491228070176,2.8947368421052633,1,True,normal,Normal possession clock.
2022,2022_ev23,redwoods-atlas-2022-7-23,redwoods-atlas-2022-7-23,21,2022-07-23,RED,Redwoods,ATL,Atlas,16,15,255,192,1404,1404.0,23:24,0.4875,0.4875,48.75%,2880.0,48:00,2880.003668799156,48:00,45,45.0,64,0.7529411764705882,5.5058823529411764,3.984375,3.0,1,True,normal,Normal possession clock.
2022,2022_ev24,whipsnakes-chaos-2022-7-23,whipsnakes-chaos-2022-7-23,22,2022-07-23,CHA,Chaos,WHP,Whipsnakes,12,14,243,193,1163,1163.0,19:23,0.40382,0.40382,40.38%,2879.996037838641,48:00,2879.9902193677945,48:00,37,37.0,51,0.7942386831275721,4.7860082304526745,4.764705882352941,3.784313725490196,1,True,normal,Normal possession clock.
2022,2022_ev24,whipsnakes-chaos-2022-7-23,whipsnakes-chaos-2022-7-23,22,2022-07-23,WHP,Whipsnakes,CHA,Chaos,14,12,256,197,1477,1477.0,24:37,0.51285,0.51285,51.29%,2879.984400896948,48:00,2879.9902193677945,48:00,43,43.0,62,0.76953125,5.76953125,4.129032258064516,3.1774193548387095,1,True,normal,Normal possession clock.
2022,2022_ev25,cannons-archers-2022-7-24,cannons-archers-2022-7-24,23,2022-07-24,ARC,Archers,CAN,Cannons,17,12,309,246,1558,1558.0,25:58,0.54097,0.54097,54.10%,2880.011830600588,48:00,2879.9956020348563,48:00,49,49.0,67,0.7961165048543689,5.042071197411003,4.611940298507463,3.671641791044776,1,True,normal,Normal possession clock.
2022,2022_ev25,cannons-archers-2022-7-24,cannons-archers-2022-7-24,23,2022-07-24,CAN,Cannons,ARC,Archers,12,17,214,162,1117,1117.0,18:37,0.38785,0.38785,38.78%,2879.9793734691248,48:00,2879.9956020348563,48:00,41,41.0,52,0.7570093457943925,5.219626168224299,4.115384615384615,3.1153846153846154,1,True,normal,Normal possession clock.
2022,2022_ev26,chrome-waterdogs-2022-7-24,chrome-waterdogs-2022-7-24,24,2022-07-24,OUT,Outlaws,WAT,Waterdogs,10,11,297,238,1439,1439.0,23:59,0.47855,0.47855,47.85%,3007.000313446871,50:07,3006.999681479333,50:07,45,45.0,64,0.8013468013468014,4.845117845117845,4.640625,3.71875,1,True,normal,Normal possession clock.
2022,2022_ev26,chrome-waterdogs-2022-7-24,chrome-waterdogs-2022-7-24,24,2022-07-24,WAT,Waterdogs,OUT,Outlaws,11,10,273,213,1392,1392.0,23:12,0.46292,0.46292,46.29%,3006.9990495117945,50:07,3006.999681479333,50:07,43,43.0,62,0.7802197802197802,5.0989010989010985,4.403225806451613,3.435483870967742,1,True,normal,Normal possession clock.
2022,2022_ev27,archers-atlas-2022-7-30,archers-atlas-2022-7-30,25,2022-07-30,ARC,Archers,ATL,Atlas,9,14,282,233,1181,1181.0,19:41,0.41007,0.41007,41.01%,2879.996098227132,48:00,2880.0027801352694,48:00,38,38.0,51,0.8262411347517731,4.1879432624113475,5.529411764705882,4.568627450980392,1,True,normal,Normal possession clock.
2022,2022_ev27,archers-atlas-2022-7-30,archers-atlas-2022-7-30,25,2022-07-30,ATL,Atlas,ARC,Archers,14,9,243,193,1461,1461.0,24:21,0.50729,0.50729,50.73%,2880.009462043407,48:00,2880.0027801352694,48:00,45,45.0,52,0.7942386831275721,6.012345679012346,4.673076923076923,3.7115384615384617,1,True,normal,Normal possession clock.
2022,2022_ev28,chrome-whipsnakes-2022-7-30,chrome-whipsnakes-2022-7-30,26,2022-07-30,OUT,Outlaws,WHP,Whipsnakes,8,9,251,204,1357,1357.0,22:37,0.47118,0.47118,47.12%,2880.0033957298697,48:00,2879.9964969807843,48:00,31,31.0,49,0.8127490039840638,5.4063745019920315,5.122448979591836,4.163265306122449,1,True,normal,Normal possession clock.
2022,2022_ev28,chrome-whipsnakes-2022-7-30,chrome-whipsnakes-2022-7-30,26,2022-07-30,WHP,Whipsnakes,OUT,Outlaws,9,8,252,206,1329,1329.0,22:09,0.46146,0.46146,46.15%,2879.9895982316993,48:00,2879.9964969807843,48:00,38,38.0,51,0.8174603174603174,5.273809523809524,4.9411764705882355,4.03921568627451,1,True,normal,Normal possession clock.
2022,2022_ev29,waterdogs-cannons-2022-7-31,waterdogs-cannons-2022-7-31,27,2022-07-31,CAN,Cannons,WAT,Waterdogs,14,15,249,194,1263,1263.0,21:03,0.43854,0.43854,43.85%,2880.0109454097687,48:00,2879.9987750616174,48:00,45,45.0,56,0.7791164658634538,5.072289156626506,4.446428571428571,3.4642857142857144,1,True,normal,Normal possession clock.
2022,2022_ev29,waterdogs-cannons-2022-7-31,waterdogs-cannons-2022-7-31,27,2022-07-31,WAT,Waterdogs,CAN,Cannons,15,14,240,182,1376,1376.0,22:56,0.47778,0.47778,47.78%,2879.9866047134665,48:00,2879.9987750616174,48:00,42,42.0,59,0.7583333333333333,5.733333333333333,4.067796610169491,3.0847457627118646,1,True,normal,Normal possession clock.
2022,2022_ev30,redwoods-chaos-2022-7-31,redwoods-chaos-2022-7-31,28,2022-07-31,CHA,Chaos,RED,Redwoods,14,12,293,238,1295,1295.0,21:35,0.44965,0.44965,44.96%,2880.0177916157013,48:00,2880.013872066948,48:00,42,42.0,56,0.8122866894197952,4.419795221843003,5.232142857142857,4.25,1,True,normal,Normal possession clock.
2022,2022_ev30,redwoods-chaos-2022-7-31,redwoods-chaos-2022-7-31,28,2022-07-31,RED,Redwoods,CHA,Chaos,12,14,261,210,1389,1389.0,23:09,0.48229,0.48229,48.23%,2880.0099525181945,48:00,2880.013872066948,48:00,43,43.0,53,0.8045977011494253,5.32183908045977,4.9245283018867925,3.9622641509433962,1,True,normal,Normal possession clock.
2022,2022_ev31,cannons-redwoods-2022-8-5,cannons-redwoods-2022-8-5,29,2022-08-06,CAN,Cannons,RED,Redwoods,12,15,256,201,1141,1141.0,19:01,0.39618,0.39618,39.62%,2880.004038568328,48:00,2879.9960964293477,48:00,39,39.0,56,0.78515625,4.45703125,4.571428571428571,3.5892857142857144,1,True,normal,Normal possession clock.
2022,2022_ev31,cannons-redwoods-2022-8-5,cannons-redwoods-2022-8-5,29,2022-08-06,RED,Redwoods,CAN,Cannons,15,12,286,220,1556,1556.0,25:56,0.54028,0.54028,54.03%,2879.988154290368,48:00,2879.9960964293477,48:00,43,43.0,69,0.7692307692307693,5.440559440559441,4.144927536231884,3.1884057971014492,1,True,normal,Normal possession clock.
2022,2022_ev32,chaos-chrome-2022-8-6,chaos-chrome-2022-8-6,30,2022-08-06,CHA,Chaos,OUT,Outlaws,9,13,229,181,1121,1121.0,18:41,0.38924,0.38924,38.92%,2879.9712259788307,48:00,2879.997504700521,48:00,41,41.0,50,0.7903930131004366,4.895196506550218,4.58,3.62,1,True,normal,Normal possession clock.
2022,2022_ev32,chaos-chrome-2022-8-6,chaos-chrome-2022-8-6,30,2022-08-06,OUT,Outlaws,CHA,Chaos,13,9,329,274,1550,1550.0,25:50,0.53819,0.53819,53.82%,2880.0237834222116,48:00,2879.997504700521,48:00,48,48.0,55,0.8328267477203647,4.711246200607903,5.9818181818181815,4.9818181818181815,1,True,normal,Normal possession clock.
2022,2022_ev33,waterdogs-atlas-2022-8-6,waterdogs-atlas-2022-8-6,31,2022-08-06,ATL,Atlas,WAT,Waterdogs,15,16,269,208,1238,1238.0,20:38,0.40872,0.40872,40.87%,3028.968486983754,50:29,3028.9902284786895,50:29,47,47.0,65,0.7732342007434945,4.602230483271375,4.138461538461539,3.2,1,True,normal,Normal possession clock.
