season,competition_type,game_id,schedule_slug,game_slug,game_number,week,game_date_utc,team_id_raw,team_name_raw,opponent_team_id_raw,opponent_team_name_raw,team_id,team_name,opponent_team_id,opponent_team_name,is_home,scores,goals,one_point_goals,two_point_goals,assists,shots,shot_pct,shots_on_goal,shots_on_goal_pct,two_point_shots,two_point_shot_pct,two_point_shots_on_goal,ground_balls,turnovers,caused_turnovers,faceoff_pct,faceoffs,faceoffs_won,faceoffs_lost,saves,clean_saves,messy_saves,save_pct,clean_save_pct,scores_against,goals_against,num_penalties,pim,power_play_pct,power_play_goals,power_play_shots,power_play_goals_against,power_play_goals_against_pct,times_man_up,times_short_handed,man_down_pct,ride_attempts,clear_attempts,clears,clear_pct,shot_clock_expirations,two_point_goals_against,touches,total_passes,time_in_possession,time_in_possession_pct,total_possessions,source_path
2022,regular,2022_ev1,whipsnakes-chaos-2022-6-04,whipsnakes-chaos-2022-6-04,1,1,2022-06-04,CHA,Chaos,WHP,Whipsnakes,CHA,Chaos,WHP,Whipsnakes,1,8,7,6,1,4,21,0.33333,16,0.7619,3,0.33333,3,23,16,3,0.4,20,8,12,13,4,9,0.59091,0.3076923076923077,9,9,2,1.0,0.0,0,0,0,0.0,0,2,1.0,26,29,28,0.96552,4,0,240,203,1174,0.40764,35,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_whipsnakes-chaos-2022-6-04/team_game_stats.json.gz
2022,regular,2022_ev1,whipsnakes-chaos-2022-6-04,whipsnakes-chaos-2022-6-04,1,1,2022-06-04,WHP,Whipsnakes,CHA,Chaos,WHP,Whipsnakes,CHA,Chaos,0,9,9,9,0,2,49,0.18367,23,0.46939,2,0.0,1,23,10,6,0.6,20,12,8,8,4,4,0.53333,0.5,8,7,0,0.0,0.0,0,2,0,0.0,2,0,0.0,29,26,26,1.0,3,1,218,159,1519,0.52743,37,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_whipsnakes-chaos-2022-6-04/team_game_stats.json.gz
2022,regular,2022_ev2,redwoods-atlas-2022-6-04,redwoods-atlas-2022-6-04,2,1,2022-06-04,ATL,Atlas,RED,Redwoods,ATL,Atlas,RED,Redwoods,1,17,16,15,1,13,33,0.48485,24,0.72727,3,0.33333,3,28,17,8,0.56667,30,17,13,11,3,8,0.52381,0.2727272727272727,11,10,3,2.0,0.5,1,3,1,0.33333,2,3,0.66667,20,25,24,0.96,3,1,239,189,1350,0.46875,44,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_redwoods-atlas-2022-6-04/team_game_stats.json.gz
2022,regular,2022_ev2,redwoods-atlas-2022-6-04,redwoods-atlas-2022-6-04,2,1,2022-06-04,RED,Redwoods,ATL,Atlas,RED,Redwoods,ATL,Atlas,0,11,10,9,1,6,37,0.27027,21,0.56757,5,0.2,2,32,19,8,0.43333,30,13,17,5,2,3,0.2381,0.4,17,16,2,2.0,0.33333,1,5,1,0.5,3,2,0.5,25,20,20,1.0,3,1,200,144,1240,0.43056,37,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_redwoods-atlas-2022-6-04/team_game_stats.json.gz
2022,regular,2022_ev3,waterdogs-cannons-2022-6-05,waterdogs-cannons-2022-6-05,3,1,2022-06-05,CAN,Cannons,WAT,Waterdogs,CAN,Cannons,WAT,Waterdogs,1,16,16,16,0,8,39,0.41026,29,0.74359,2,0.0,1,31,17,5,0.53333,30,16,14,19,7,12,0.65517,0.3684210526315789,10,10,4,2.0,0.5,1,3,1,0.25,2,4,0.75,29,32,31,0.96875,1,0,232,176,1149,0.39896,46,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_waterdogs-cannons-2022-6-05/team_game_stats.json.gz
2022,regular,2022_ev3,waterdogs-cannons-2022-6-05,waterdogs-cannons-2022-6-05,3,1,2022-06-05,WAT,Waterdogs,CAN,Cannons,WAT,Waterdogs,CAN,Cannons,0,10,10,10,0,4,42,0.2381,31,0.7381,4,0.0,4,35,14,7,0.46667,30,14,16,10,3,7,0.38462,0.3,16,16,2,1.0,0.25,1,5,1,0.5,4,2,0.5,32,29,29,1.0,0,0,224,168,1459,0.5066,42,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_waterdogs-cannons-2022-6-05/team_game_stats.json.gz
2022,regular,2022_ev4,chrome-archers-2022-6-05,chrome-archers-2022-6-05,4,1,2022-06-05,ARC,Archers,CHR,Chrome,ARC,Archers,OUT,Outlaws,1,10,10,10,0,8,40,0.25,23,0.575,3,0.0,1,34,13,4,0.41667,24,10,14,8,1,7,0.44444,0.125,11,10,5,5.0,0.5,1,1,2,0.33333,2,6,0.66667,27,30,30,1.0,2,1,282,229,1379,0.47882,39,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_chrome-archers-2022-6-05/team_game_stats.json.gz
2022,regular,2022_ev4,chrome-archers-2022-6-05,chrome-archers-2022-6-05,4,1,2022-06-05,CHR,Chrome,ARC,Archers,OUT,Outlaws,ARC,Archers,0,11,10,9,1,6,37,0.27027,21,0.56757,2,0.5,1,32,16,7,0.58333,24,14,10,11,2,9,0.52381,0.18181818181818182,10,10,5,5.5,0.33333,2,3,1,0.5,6,2,0.5,30,27,27,1.0,1,0,283,230,1318,0.45764,39,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_chrome-archers-2022-6-05/team_game_stats.json.gz
2022,regular,2022_ev5,chrome-redwoods-2022-6-10,chrome-redwoods-2022-6-10,5,2,2022-06-10,CHR,Chrome,RED,Redwoods,OUT,Outlaws,RED,Redwoods,0,12,12,12,0,6,39,0.30769,22,0.5641,3,0.0,2,39,15,11,0.63158,19,12,7,7,0,7,0.7,0.0,3,3,2,2.0,0.0,0,2,1,0.5,2,2,0.5,20,25,25,1.0,4,0,278,224,1547,0.53715,39,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_chrome-redwoods-2022-6-10/team_game_stats.json.gz
2022,regular,2022_ev5,chrome-redwoods-2022-6-10,chrome-redwoods-2022-6-10,5,2,2022-06-10,RED,Redwoods,CHR,Chrome,RED,Redwoods,OUT,Outlaws,1,3,3,3,0,3,23,0.13043,13,0.56522,2,0.0,1,24,22,4,0.36842,19,7,12,6,3,3,0.33333,0.5,12,12,2,2.0,0.5,1,1,0,0.0,2,2,1.0,25,20,20,1.0,2,0,202,157,1125,0.39062,32,/home/runner/work/PLL_Analytics/PLL_Analytics/data/source_data/api_responses/season_2022/game_chrome-redwoods-2022-6-10/team_game_stats.json.gz
